Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
,,,,,,,total,Total,Headline Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Lib Dem,Green,Other,,,,,,37.6,38.4,7.8,5.7,4.8,,,,,,11-09-21-VI-Tables-FINAL.xlsx,VIHeadline
,,,,,,,current_vote,Conservative,Headline Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Lib Dem,Green,Other,,,,,,,,,,,,,,,,11-09-21-VI-Tables-FINAL.xlsx,VIHeadline
,,,,,,,current_vote,Labour,Headline Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Lib Dem,Green,Other,,,,,,,,,,,,,,,,11-09-21-VI-Tables-FINAL.xlsx,VIHeadline
,,,,,,,current_vote,Lib Dem,Headline Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Lib Dem,Green,Other,,,,,,,,,,,,,,,,11-09-21-VI-Tables-FINAL.xlsx,VIHeadline
,,,,,,,current_vote,SNP,Headline Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Lib Dem,Green,Other,,,,,,,,,,,,,,,,11-09-21-VI-Tables-FINAL.xlsx,VIHeadline
,,,,,,,current_vote,Plaid Cymru,Headline Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Lib Dem,Green,Other,,,,,,,,,,,,,,,,11-09-21-VI-Tables-FINAL.xlsx,VIHeadline
,,,,,,,current_vote,Green,Headline Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Lib Dem,Green,Other,,,,,,,,,,,,,,,,11-09-21-VI-Tables-FINAL.xlsx,VIHeadline
,,,,,,,current_vote,Other,Headline Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Lib Dem,Green,Other,,,,,,,,,,,,,,,,11-09-21-VI-Tables-FINAL.xlsx,VIHeadline
,,,,,,,historic_vote,Remain,Headline Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Lib Dem,Green,Other,,,,,,17.3,53.5,13.0,7.8,0.9,,,,,,11-09-21-VI-Tables-FINAL.xlsx,VIHeadline
,,,,,,,historic_vote,Leave,Headline Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Lib Dem,Green,Other,,,,,,62.5,18.1,2.8,3.7,9.5,,,,,,11-09-21-VI-Tables-FINAL.xlsx,VIHeadline
,,,,,,,gender,Male,Headline Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Lib Dem,Green,Other,,,,,,39.1,35.1,8.8,5.6,6.6,,,,,,11-09-21-VI-Tables-FINAL.xlsx,VIHeadline
,,,,,,,gender,Female,Headline Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Lib Dem,Green,Other,,,,,,36.0,42.3,6.6,5.8,2.7,,,,,,11-09-21-VI-Tables-FINAL.xlsx,VIHeadline
,,,,,,,age,18-34,Headline Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Lib Dem,Green,Other,,,,,,20.2,56.3,7.6,8.0,2.1,,,,,,11-09-21-VI-Tables-FINAL.xlsx,VIHeadline
,,,,,,,age,35-44,Headline Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Lib Dem,Green,Other,,,,,,27.2,47.7,5.8,4.9,5.7,,,,,,11-09-21-VI-Tables-FINAL.xlsx,VIHeadline
,,,,,,,age,45-54,Headline Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Lib Dem,Green,Other,,,,,,41.2,29.2,9.3,9.5,6.3,,,,,,11-09-21-VI-Tables-FINAL.xlsx,VIHeadline
,,,,,,,age,55-64,Headline Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Lib Dem,Green,Other,,,,,,40.6,36.8,6.7,5.3,4.8,,,,,,11-09-21-VI-Tables-FINAL.xlsx,VIHeadline
,,,,,,,age,65+,Headline Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Lib Dem,Green,Other,,,,,,49.8,29.5,8.7,2.6,4.9,,,,,,11-09-21-VI-Tables-FINAL.xlsx,VIHeadline
,,,,,,,region,North,Headline Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Lib Dem,Green,Other,,,,,,30.3,48.4,10.1,6.5,4.7,,,,,,11-09-21-VI-Tables-FINAL.xlsx,VIHeadline
,,,,,,,region,Midlands,Headline Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Lib Dem,Green,Other,,,,,,51.4,35.7,5.5,5.0,2.3,,,,,,11-09-21-VI-Tables-FINAL.xlsx,VIHeadline
,,,,,,,region,London,Headline Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Lib Dem,Green,Other,,,,,,24.9,56.5,10.1,4.5,4.1,,,,,,11-09-21-VI-Tables-FINAL.xlsx,VIHeadline
,,,,,,,region,South,Headline Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Lib Dem,Green,Other,,,,,,40.1,34.7,9.1,8.2,7.9,,,,,,11-09-21-VI-Tables-FINAL.xlsx,VIHeadline
,,,,,,,region,Wales,Headline Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Lib Dem,Green,Other,,,,,,50.9,34.7,4.9,1.0,,,,,,,11-09-21-VI-Tables-FINAL.xlsx,VIHeadline
,,,,,,,region,Scotland,Headline Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Lib Dem,Green,Other,,,,,,29.3,15.9,1.4,1.4,2.3,,,,,,11-09-21-VI-Tables-FINAL.xlsx,VIHeadline
,,,,,,,region,Northern Ireland,Headline Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Lib Dem,Green,Other,,,,,,,,,,,,,,,,11-09-21-VI-Tables-FINAL.xlsx,VIHeadline
,,,,,,,total,Total,"If there were a general election tomorrow, how likely would you be to vote?  Please answer using the scale below where 0 is ""definitely WON'T vote"", 5 is ""might vote, might not"" and 10 is ""definitely WILL vote"".",Voting intention (Westminster),general election tomorrow,0 - definitely WON'T vote,1,2,"5 - might vote, might not vote",6,7,8,9,10 - definitely WILL vote,,2.7,0.8,0.7,7.0,1.3,3.3,5.7,7.5,70.3,,11-09-21-VI-Tables-FINAL.xlsx,V002
,,,,,,,current_vote,Conservative,"If there were a general election tomorrow, how likely would you be to vote?  Please answer using the scale below where 0 is ""definitely WON'T vote"", 5 is ""might vote, might not"" and 10 is ""definitely WILL vote"".",Voting intention (Westminster),general election tomorrow,0 - definitely WON'T vote,1,2,"5 - might vote, might not vote",6,7,8,9,10 - definitely WILL vote,,,,,,,,,,,,11-09-21-VI-Tables-FINAL.xlsx,V002
,,,,,,,current_vote,Labour,"If there were a general election tomorrow, how likely would you be to vote?  Please answer using the scale below where 0 is ""definitely WON'T vote"", 5 is ""might vote, might not"" and 10 is ""definitely WILL vote"".",Voting intention (Westminster),general election tomorrow,0 - definitely WON'T vote,1,2,"5 - might vote, might not vote",6,7,8,9,10 - definitely WILL vote,,,,,,,,,,,,11-09-21-VI-Tables-FINAL.xlsx,V002
,,,,,,,current_vote,Lib Dem,"If there were a general election tomorrow, how likely would you be to vote?  Please answer using the scale below where 0 is ""definitely WON'T vote"", 5 is ""might vote, might not"" and 10 is ""definitely WILL vote"".",Voting intention (Westminster),general election tomorrow,0 - definitely WON'T vote,1,2,"5 - might vote, might not vote",6,7,8,9,10 - definitely WILL vote,,,,,,,,,,,,11-09-21-VI-Tables-FINAL.xlsx,V002
