Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
GB Adults,12th August 2026,,,,,,total,All,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Plaid Cymru,Reform UK,Other,,,19.8,22.3,10.6,13.5,3.3,1.2,23.9,5.4,,,12th-August-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,12th August 2026,,,,,,gender,Male,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Plaid Cymru,Reform UK,Other,,,17.4,23.4,10.1,11.5,2.8,1.3,28.5,4.9,,,12th-August-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,12th August 2026,,,,,,gender,Female,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Plaid Cymru,Reform UK,Other,,,22.5,21.0,11.1,15.9,3.9,1.2,18.5,5.9,,,12th-August-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,12th August 2026,,,,,,age,18-29,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Plaid Cymru,Reform UK,Other,,,6.2,24.9,11.3,32.4,2.0,0.9,14.7,7.6,,,12th-August-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,12th August 2026,,,,,,age,30-39,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Plaid Cymru,Reform UK,Other,,,9.6,29.4,10.3,19.8,4.7,1.0,21.7,3.4,,,12th-August-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,12th August 2026,,,,,,age,40-54,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Plaid Cymru,Reform UK,Other,,,17.7,28.3,11.6,13.1,1.5,1.3,21.1,5.4,,,12th-August-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,12th August 2026,,,,,,age,55-64,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Plaid Cymru,Reform UK,Other,,,18.6,20.6,11.1,6.8,6.7,0.4,28.6,7.1,,,12th-August-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,12th August 2026,,,,,,age,65-74,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Plaid Cymru,Reform UK,Other,,,31.7,12.5,9.5,3.2,2.9,2.3,33.3,4.7,,,12th-August-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,12th August 2026,,,,,,age,75+,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Plaid Cymru,Reform UK,Other,,,40.1,12.2,9.1,3.8,2.5,1.6,26.6,4.2,,,12th-August-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,12th August 2026,,,,,,region,East Midlands,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Plaid Cymru,Reform UK,Other,,,26.0,23.2,9.6,6.2,,0.9,28.8,5.4,,,12th-August-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,12th August 2026,,,,,,region,East of England,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Plaid Cymru,Reform UK,Other,,,20.6,22.1,11.7,10.4,0.8,0.6,27.2,6.6,,,12th-August-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,12th August 2026,,,,,,region,London,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Plaid Cymru,Reform UK,Other,,,18.9,29.5,10.6,20.7,0.5,,13.0,6.6,,,12th-August-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,12th August 2026,,,,,,region,North East,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Plaid Cymru,Reform UK,Other,,,24.4,24.2,12.4,7.8,,,24.0,7.3,,,12th-August-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,12th August 2026,,,,,,region,North West,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Plaid Cymru,Reform UK,Other,,,14.6,36.7,6.1,17.0,,,22.7,2.9,,,12th-August-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,12th August 2026,,,,,,region,Scotland,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Plaid Cymru,Reform UK,Other,,,14.7,17.2,3.7,8.0,35.6,,18.9,1.8,,,12th-August-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,12th August 2026,,,,,,region,South East,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Plaid Cymru,Reform UK,Other,,,20.2,11.2,22.0,14.0,0.4,0.1,26.5,5.5,,,12th-August-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,12th August 2026,,,,,,region,South West,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Plaid Cymru,Reform UK,Other,,,20.9,16.8,14.5,13.5,,,29.2,5.0,,,12th-August-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,12th August 2026,,,,,,region,Wales,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Plaid Cymru,Reform UK,Other,,,17.1,23.0,2.4,1.8,,25.3,27.7,2.6,,,12th-August-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,12th August 2026,,,,,,region,West Midlands,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Plaid Cymru,Reform UK,Other,,,23.1,18.1,9.2,12.3,,,29.5,7.8,,,12th-August-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,12th August 2026,,,,,,region,Yorkshire and the Humber,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Plaid Cymru,Reform UK,Other,,,19.5,22.3,4.0,22.0,,,26.7,5.4,,,12th-August-VI-Find-Out-Now.xlsx,Headline VI
