Sample,Sample detail,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Category,Sub-category,Question detail,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
,,,,,,,total,Total,Q:VIHeadline. Headline voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Some other party,,,,40.6,36.8,6.7,5.0,5.1,1.3,4.6,,,,13-10-21-VI-Tables.xlsx,VIHeadline
,,,,,,,current_vote,Conservative,Q:VIHeadline. Headline voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Some other party,,,,,,,,,,,,,,13-10-21-VI-Tables.xlsx,VIHeadline
,,,,,,,current_vote,Labour,Q:VIHeadline. Headline voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Some other party,,,,,,,,,,,,,,13-10-21-VI-Tables.xlsx,VIHeadline
,,,,,,,current_vote,Liberal Democrat,Q:VIHeadline. Headline voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Some other party,,,,,,,,,,,,,,13-10-21-VI-Tables.xlsx,VIHeadline
,,,,,,,current_vote,SNP,Q:VIHeadline. Headline voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Some other party,,,,,,,,,,,,,,13-10-21-VI-Tables.xlsx,VIHeadline
,,,,,,,current_vote,Plaid Cymru,Q:VIHeadline. Headline voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Some other party,,,,,,,,,,,,,,13-10-21-VI-Tables.xlsx,VIHeadline
,,,,,,,current_vote,Green,Q:VIHeadline. Headline voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Some other party,,,,,,,,,,,,,,13-10-21-VI-Tables.xlsx,VIHeadline
,,,,,,,current_vote,Some other party,Q:VIHeadline. Headline voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Some other party,,,,,,,,,,,,,,13-10-21-VI-Tables.xlsx,VIHeadline
,,,,,,,historic_vote,Remain,Q:VIHeadline. Headline voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Some other party,,,,19.6,52.1,11.2,7.1,7.5,1.6,0.8,,,,13-10-21-VI-Tables.xlsx,VIHeadline
,,,,,,,historic_vote,Leave,Q:VIHeadline. Headline voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Some other party,,,,64.8,17.7,1.6,3.6,3.0,1.1,8.2,,,,13-10-21-VI-Tables.xlsx,VIHeadline
