Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
GB Adults,15th July 2026,,,,,,total,All,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,19.5,19.4,11.4,14.9,24.3,5.5,,,,,15th-July-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,15th July 2026,,,,,,gender,Male,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,14.6,21.2,10.8,12.5,28.2,6.2,,,,,15th-July-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,15th July 2026,,,,,,gender,Female,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,25.7,17.0,12.1,17.9,19.2,4.7,,,,,15th-July-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,15th July 2026,,,,,,age,18-29,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,7.5,16.6,14.7,33.7,14.5,7.9,,,,,15th-July-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,15th July 2026,,,,,,age,30-39,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,11.2,28.4,13.0,22.8,17.1,3.2,,,,,15th-July-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,15th July 2026,,,,,,age,40-54,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,14.4,29.4,14.3,13.3,19.4,6.0,,,,,15th-July-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,15th July 2026,,,,,,age,55-64,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,18.3,17.0,6.8,9.2,34.3,7.5,,,,,15th-July-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,15th July 2026,,,,,,age,65-74,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,24.6,9.8,11.8,2.7,36.5,5.2,,,,,15th-July-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,15th July 2026,,,,,,age,75+,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,46.6,8.6,6.0,5.0,28.1,3.4,,,,,15th-July-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,15th July 2026,,,,,,region,East Midlands,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,20.3,20.7,6.7,10.6,39.6,2.0,,,,,15th-July-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,15th July 2026,,,,,,region,East of England,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,23.4,21.5,15.2,9.2,23.8,6.8,,,,,15th-July-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,15th July 2026,,,,,,region,London,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,16.7,24.3,13.5,16.9,19.4,8.5,,,,,15th-July-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,15th July 2026,,,,,,region,North East,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,27.5,22.0,9.4,12.0,24.9,4.2,,,,,15th-July-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,15th July 2026,,,,,,region,North West,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,16.3,37.2,5.6,20.1,15.6,5.3,,,,,15th-July-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,15th July 2026,,,,,,region,Scotland,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,12.8,9.4,11.9,6.7,17.5,4.5,,,,,15th-July-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,15th July 2026,,,,,,region,South East,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,22.4,15.3,15.5,11.3,29.3,6.2,,,,,15th-July-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,15th July 2026,,,,,,region,South West,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,21.3,14.5,15.5,18.9,24.6,2.9,,,,,15th-July-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,15th July 2026,,,,,,region,Wales,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,21.0,5.9,3.7,13.6,25.2,1.8,,,,,15th-July-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,15th July 2026,,,,,,region,West Midlands,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,25.5,19.3,4.6,20.2,25.2,5.2,,,,,15th-July-VI-Find-Out-Now (1).xlsx,Headline VI
