Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
GB Adults,19th August 2026,,,,,,total,All,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,17.9,23.3,11.5,13.7,23.4,5.8,,,,,19th-August-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,19th August 2026,,,,,,gender,Male,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,15.2,22.9,10.5,12.9,28.0,6.7,,,,,19th-August-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,19th August 2026,,,,,,gender,Female,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,21.1,23.8,12.7,14.7,18.0,4.7,,,,,19th-August-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,19th August 2026,,,,,,age,18-29,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,4.5,29.3,9.6,28.2,12.3,10.9,,,,,19th-August-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,19th August 2026,,,,,,age,30-39,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,8.0,34.2,13.0,24.4,11.0,5.9,,,,,19th-August-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,19th August 2026,,,,,,age,40-54,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,12.0,25.9,15.2,12.7,23.1,5.9,,,,,19th-August-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,19th August 2026,,,,,,age,55-64,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,17.6,22.3,8.7,6.5,33.8,5.8,,,,,19th-August-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,19th August 2026,,,,,,age,65-74,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,31.1,13.3,13.5,4.7,30.6,3.2,,,,,19th-August-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,19th August 2026,,,,,,age,75+,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,39.2,11.8,7.2,3.9,31.9,2.9,,,,,19th-August-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,19th August 2026,,,,,,region,East Midlands,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,18.9,30.9,6.1,12.5,26.4,4.1,,,,,19th-August-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,19th August 2026,,,,,,region,East of England,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,21.3,22.6,16.3,10.1,21.5,8.2,,,,,19th-August-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,19th August 2026,,,,,,region,London,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,16.8,34.0,10.4,17.9,17.6,3.4,,,,,19th-August-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,19th August 2026,,,,,,region,North East,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,9.8,30.5,13.7,15.7,26.8,3.5,,,,,19th-August-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,19th August 2026,,,,,,region,North West,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,15.7,40.4,7.1,10.8,21.7,4.4,,,,,19th-August-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,19th August 2026,,,,,,region,Scotland,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,13.9,13.1,7.1,8.7,13.8,7.6,,,,,19th-August-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,19th August 2026,,,,,,region,South East,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,18.8,16.1,20.4,17.0,22.3,4.9,,,,,19th-August-VI-Find-Out-Now (1).xlsx,Headline VI
