Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
GB Adults,1st to 2nd April 2026,,,,,,total,All,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,17.9,15.4,10.2,20.0,1.5,25.9,6.6,,,,1st-April-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd April 2026,,,,,,gender,Male,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,15.6,16.1,10.7,17.7,1.3,29.8,7.0,,,,1st-April-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd April 2026,,,,,,gender,Female,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,20.7,14.5,9.7,22.7,1.7,21.2,6.2,,,,1st-April-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd April 2026,,,,,,age,18-29,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,7.6,18.7,9.2,42.1,1.3,10.8,8.8,,,,1st-April-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd April 2026,,,,,,age,30-39,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,9.5,23.7,6.6,31.4,1.7,17.1,5.1,,,,1st-April-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd April 2026,,,,,,age,40-54,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,17.4,15.6,14.4,20.6,1.7,19.0,8.9,,,,1st-April-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd April 2026,,,,,,age,55-64,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,17.8,9.5,11.6,13.5,1.5,35.9,7.2,,,,1st-April-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd April 2026,,,,,,age,65-74,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,22.4,13.9,11.0,5.0,1.4,40.4,3.6,,,,1st-April-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd April 2026,,,,,,age,75+,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,35.2,10.0,6.8,6.3,1.1,35.1,5.1,,,,1st-April-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd April 2026,,,,,,region,East Midlands,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,14.0,18.1,11.6,19.9,,27.5,8.9,,,,1st-April-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd April 2026,,,,,,region,East of England,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,16.4,18.0,8.8,16.1,,30.0,10.7,,,,1st-April-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd April 2026,,,,,,region,London,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,21.3,19.3,10.9,20.7,,22.8,5.0,,,,1st-April-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd April 2026,,,,,,region,North East,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,8.9,17.0,7.2,15.3,1.9,45.5,4.2,,,,1st-April-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd April 2026,,,,,,region,North West,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,18.9,18.5,7.4,20.2,,29.5,5.6,,,,1st-April-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd April 2026,,,,,,region,Scotland,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,12.3,10.4,12.1,12.0,,17.9,5.3,,,,1st-April-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd April 2026,,,,,,region,South East,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,20.3,12.7,11.4,20.5,,30.2,4.8,,,,1st-April-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd April 2026,,,,,,region,South West,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,19.2,11.6,18.4,27.3,,15.8,7.1,,,,1st-April-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd April 2026,,,,,,region,Wales,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,15.3,6.6,2.6,12.5,26.4,30.0,6.6,,,,1st-April-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd April 2026,,,,,,region,West Midlands,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,20.6,13.2,9.3,19.8,1.0,23.9,12.2,,,,1st-April-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd April 2026,,,,,,region,Yorkshire and the Humber,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,18.8,17.3,8.6,29.8,0.5,22.1,2.9,,,,1st-April-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd April 2026,,,,,,total,All,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,51.4,15.1,6.1,12.1,,,,,,,1st-April-VI-Find-Out-Now.xlsx,Turnout
GB Adults,1st to 2nd April 2026,,,,,,gender,Male,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,56.5,14.7,6.0,11.3,,,,,,,1st-April-VI-Find-Out-Now.xlsx,Turnout
GB Adults,1st to 2nd April 2026,,,,,,gender,Female,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,46.5,15.4,6.2,12.9,,,,,,,1st-April-VI-Find-Out-Now.xlsx,Turnout
