Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
GB Adults,1st to 2nd July 2026,,,,,,total,All,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,18.7,20.9,10.3,16.0,25.2,5.7,,,,,1st-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd July 2026,,,,,,gender,Male,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,15.7,22.8,9.4,14.3,28.8,6.1,,,,,1st-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd July 2026,,,,,,gender,Female,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,22.4,18.4,11.5,18.2,20.8,5.2,,,,,1st-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd July 2026,,,,,,age,18-29,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,7.3,17.1,10.1,34.9,19.4,8.8,,,,,1st-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd July 2026,,,,,,age,30-39,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,8.2,31.2,9.0,28.1,15.3,3.7,,,,,1st-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd July 2026,,,,,,age,40-54,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,18.1,21.4,12.5,15.3,23.8,6.0,,,,,1st-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd July 2026,,,,,,age,55-64,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,15.8,23.2,8.9,4.7,36.7,7.3,,,,,1st-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd July 2026,,,,,,age,65-74,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,24.4,17.3,13.1,5.4,31.4,3.7,,,,,1st-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd July 2026,,,,,,age,75+,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,40.5,11.6,7.7,5.1,28.3,5.3,,,,,1st-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd July 2026,,,,,,region,East Midlands,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,30.5,17.7,6.9,11.4,27.8,5.5,,,,,1st-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,1st to 2nd July 2026,,,,,,region,East of England,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,25.8,19.4,6.3,16.6,25.6,6.4,,,,,1st-July-VI-Find-Out-Now.xlsx,Headline VI
