Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
GB Adults,22nd to 23rd April 2026,,,,,,total,All,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,15.8,14.8,11.3,20.7,1.6,25.4,6.9,,,,22nd-April-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,22nd to 23rd April 2026,,,,,,gender,Male,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,15.4,14.8,9.2,19.3,1.7,28.7,7.9,,,,22nd-April-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,22nd to 23rd April 2026,,,,,,gender,Female,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,16.4,14.8,13.9,22.4,1.5,21.4,5.7,,,,22nd-April-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,22nd to 23rd April 2026,,,,,,age,18-29,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,4.6,16.7,10.1,43.3,1.6,13.9,7.6,,,,22nd-April-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,22nd to 23rd April 2026,,,,,,age,30-39,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,11.4,19.2,12.1,32.8,1.2,13.6,7.1,,,,22nd-April-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,22nd to 23rd April 2026,,,,,,age,40-54,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,12.4,16.4,11.3,23.8,1.2,21.8,9.5,,,,22nd-April-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,22nd to 23rd April 2026,,,,,,age,55-64,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,13.0,13.0,12.8,11.8,1.3,36.6,6.0,,,,22nd-April-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,22nd to 23rd April 2026,,,,,,age,65-74,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,24.7,12.0,12.3,5.8,3.6,31.3,7.0,,,,22nd-April-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,22nd to 23rd April 2026,,,,,,age,75+,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,33.1,10.1,9.0,4.0,1.0,37.1,2.5,,,,22nd-April-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,22nd to 23rd April 2026,,,,,,region,East Midlands,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,17.0,14.4,7.7,25.3,0.7,29.2,5.7,,,,22nd-April-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,22nd to 23rd April 2026,,,,,,region,East of England,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,18.5,11.6,13.3,15.2,0.7,32.0,8.7,,,,22nd-April-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,22nd to 23rd April 2026,,,,,,region,London,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,16.0,25.6,11.1,27.8,,14.9,4.5,,,,22nd-April-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,22nd to 23rd April 2026,,,,,,region,North East,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,21.8,21.5,6.6,14.0,,25.6,10.5,,,,22nd-April-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,22nd to 23rd April 2026,,,,,,region,North West,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,10.1,18.3,4.9,20.8,,35.5,10.5,,,,22nd-April-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,22nd to 23rd April 2026,,,,,,region,Scotland,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,14.1,12.9,7.6,11.2,,14.2,4.2,,,,22nd-April-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,22nd to 23rd April 2026,,,,,,region,South East,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,17.8,11.7,21.1,19.8,,24.8,4.8,,,,22nd-April-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,22nd to 23rd April 2026,,,,,,region,South West,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,14.3,5.0,20.9,24.7,,25.8,9.4,,,,22nd-April-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,22nd to 23rd April 2026,,,,,,region,Wales,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,14.7,8.0,8.1,8.8,33.6,19.2,7.6,,,,22nd-April-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,22nd to 23rd April 2026,,,,,,region,West Midlands,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,17.1,12.7,6.3,23.4,,33.1,6.3,,,,22nd-April-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,22nd to 23rd April 2026,,,,,,region,Yorkshire and the Humber,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Plaid Cymru,Reform UK,Other,,,,15.1,14.7,9.0,25.7,,27.7,7.8,,,,22nd-April-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,22nd to 23rd April 2026,,,,,,total,All,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,52.1,13.6,5.6,12.4,,,,,,,22nd-April-VI-Find-Out-Now (1).xlsx,Turnout
GB Adults,22nd to 23rd April 2026,,,,,,gender,Male,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,57.2,13.1,5.5,11.4,,,,,,,22nd-April-VI-Find-Out-Now (1).xlsx,Turnout
GB Adults,22nd to 23rd April 2026,,,,,,gender,Female,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,47.2,14.1,5.8,13.3,,,,,,,22nd-April-VI-Find-Out-Now (1).xlsx,Turnout
GB Adults,22nd to 23rd April 2026,,,,,,age,18-29,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,41.9,14.2,5.6,15.2,,,,,,,22nd-April-VI-Find-Out-Now (1).xlsx,Turnout
GB Adults,22nd to 23rd April 2026,,,,,,age,30-39,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,45.6,12.0,7.1,13.3,,,,,,,22nd-April-VI-Find-Out-Now (1).xlsx,Turnout
