Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
GB Adults,22nd July 2026,,,,,,total,All,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Reform UK,Other,,,,19.3,21.6,10.3,14.1,3.3,23.6,6.5,,,,22nd-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,22nd July 2026,,,,,,gender,Male,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Reform UK,Other,,,,17.6,25.4,9.5,10.8,3.0,25.8,6.9,,,,22nd-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,22nd July 2026,,,,,,gender,Female,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Reform UK,Other,,,,21.2,17.2,11.2,17.8,3.7,21.0,6.0,,,,22nd-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,22nd July 2026,,,,,,age,18-29,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Reform UK,Other,,,,5.8,25.6,10.3,32.2,1.5,13.6,8.8,,,,22nd-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,22nd July 2026,,,,,,age,30-39,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Reform UK,Other,,,,12.4,28.2,16.7,24.3,0.7,13.2,4.2,,,,22nd-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,22nd July 2026,,,,,,age,40-54,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Reform UK,Other,,,,13.7,25.6,9.2,12.3,3.7,24.3,9.4,,,,22nd-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,22nd July 2026,,,,,,age,55-64,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Reform UK,Other,,,,21.0,16.0,9.5,6.7,5.4,33.5,7.4,,,,22nd-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,22nd July 2026,,,,,,age,65-74,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Reform UK,Other,,,,24.5,20.0,7.0,3.4,6.6,31.3,5.5,,,,22nd-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,22nd July 2026,,,,,,age,75+,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Reform UK,Other,,,,42.0,12.6,9.1,4.3,2.1,26.1,2.3,,,,22nd-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,22nd July 2026,,,,,,region,East Midlands,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Reform UK,Other,,,,14.4,30.0,4.5,17.0,,32.7,1.4,,,,22nd-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,22nd July 2026,,,,,,region,East of England,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Reform UK,Other,,,,23.8,18.0,12.9,14.7,,19.3,11.3,,,,22nd-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,22nd July 2026,,,,,,region,London,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Scottish National Party (SNP),Reform UK,Other,,,,19.6,30.5,11.7,19.4,,13.5,5.2,,,,22nd-July-VI-Find-Out-Now.xlsx,Headline VI
