Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
GB Adults,24th to 25th June 2026,,,,,,total,All,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,18.5,20.7,11.6,15.2,24.4,5.8,,,,,24th-June-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,24th to 25th June 2026,,,,,,gender,Male,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,17.9,20.5,10.5,13.6,27.4,5.7,,,,,24th-June-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,24th to 25th June 2026,,,,,,gender,Female,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,19.2,20.9,12.9,17.2,20.8,5.9,,,,,24th-June-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,24th to 25th June 2026,,,,,,age,18-29,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,6.3,18.8,14.1,34.5,12.0,8.9,,,,,24th-June-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,24th to 25th June 2026,,,,,,age,30-39,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,12.3,25.9,13.1,24.2,13.6,4.1,,,,,24th-June-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,24th to 25th June 2026,,,,,,age,40-54,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,14.7,26.9,10.7,15.4,22.5,6.5,,,,,24th-June-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,24th to 25th June 2026,,,,,,age,55-64,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,17.2,23.7,10.8,6.8,33.4,5.8,,,,,24th-June-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,24th to 25th June 2026,,,,,,age,65-74,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,26.6,11.9,11.6,5.7,35.4,5.5,,,,,24th-June-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,24th to 25th June 2026,,,,,,age,75+,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,38.4,12.2,9.5,3.6,31.1,3.4,,,,,24th-June-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,24th to 25th June 2026,,,,,,region,East Midlands,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,14.7,25.3,12.2,22.2,21.5,4.2,,,,,24th-June-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,24th to 25th June 2026,,,,,,region,East of England,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,22.5,15.7,9.1,14.5,31.6,6.5,,,,,24th-June-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,24th to 25th June 2026,,,,,,region,London,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,20.4,24.3,12.8,20.4,17.0,5.2,,,,,24th-June-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,24th to 25th June 2026,,,,,,region,North East,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,17.4,24.2,9.3,9.4,35.4,4.3,,,,,24th-June-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,24th to 25th June 2026,,,,,,region,North West,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,17.1,36.1,10.4,11.3,20.6,4.5,,,,,24th-June-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,24th to 25th June 2026,,,,,,region,Scotland,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,12.1,14.8,5.1,13.0,13.2,6.7,,,,,24th-June-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,24th to 25th June 2026,,,,,,region,South East,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,19.0,14.4,23.6,11.9,25.4,5.7,,,,,24th-June-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,24th to 25th June 2026,,,,,,region,South West,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,13.8,17.8,16.8,17.6,30.3,3.8,,,,,24th-June-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,24th to 25th June 2026,,,,,,region,Wales,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,18.3,10.9,4.7,10.8,28.7,5.0,,,,,24th-June-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,24th to 25th June 2026,,,,,,region,West Midlands,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,20.3,19.3,4.9,19.8,24.5,11.3,,,,,24th-June-VI-Find-Out-Now.xlsx,Headline VI
