Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
GB Adults,2nd April 2025,,,,,,total,All,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,20.1,21.7,13.4,10.7,27.7,2.7,,,,,2nd-April-Find-Out-Now-VI.xlsx,Headline VI
GB Adults,2nd April 2025,,,,,,gender,Male,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,17.2,23.4,12.5,10.1,30.9,2.7,,,,,2nd-April-Find-Out-Now-VI.xlsx,Headline VI
GB Adults,2nd April 2025,,,,,,gender,Female,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,23.4,19.6,14.5,11.4,24.0,2.6,,,,,2nd-April-Find-Out-Now-VI.xlsx,Headline VI
GB Adults,2nd April 2025,,,,,,age,18-29,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,4.6,31.3,14.9,21.1,24.6,1.0,,,,,2nd-April-Find-Out-Now-VI.xlsx,Headline VI
GB Adults,2nd April 2025,,,,,,age,30-39,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,13.4,30.5,12.5,17.4,22.9,1.0,,,,,2nd-April-Find-Out-Now-VI.xlsx,Headline VI
GB Adults,2nd April 2025,,,,,,age,40-54,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,19.1,23.2,15.9,9.7,23.1,4.3,,,,,2nd-April-Find-Out-Now-VI.xlsx,Headline VI
GB Adults,2nd April 2025,,,,,,age,55-64,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,20.3,19.5,14.4,2.7,34.4,4.0,,,,,2nd-April-Find-Out-Now-VI.xlsx,Headline VI
GB Adults,2nd April 2025,,,,,,age,65-74,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,33.1,7.4,11.3,2.2,38.6,4.5,,,,,2nd-April-Find-Out-Now-VI.xlsx,Headline VI
GB Adults,2nd April 2025,,,,,,age,75+,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,40.0,11.5,9.1,6.3,26.2,1.1,,,,,2nd-April-Find-Out-Now-VI.xlsx,Headline VI
GB Adults,2nd April 2025,,,,,,region,East Midlands,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,21.6,22.7,12.8,13.0,27.5,2.4,,,,,2nd-April-Find-Out-Now-VI.xlsx,Headline VI
GB Adults,2nd April 2025,,,,,,region,East of England,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,22.8,16.9,12.0,12.2,33.8,2.3,,,,,2nd-April-Find-Out-Now-VI.xlsx,Headline VI
GB Adults,2nd April 2025,,,,,,region,London,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,22.4,29.5,13.8,11.8,18.7,3.7,,,,,2nd-April-Find-Out-Now-VI.xlsx,Headline VI
GB Adults,2nd April 2025,,,,,,region,North East,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,18.4,19.5,10.5,16.5,30.9,4.1,,,,,2nd-April-Find-Out-Now-VI.xlsx,Headline VI
GB Adults,2nd April 2025,,,,,,region,North West,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,16.8,23.2,9.1,13.3,35.3,2.3,,,,,2nd-April-Find-Out-Now-VI.xlsx,Headline VI
GB Adults,2nd April 2025,,,,,,region,Scotland,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,12.1,18.8,6.2,7.4,11.0,6.1,,,,,2nd-April-Find-Out-Now-VI.xlsx,Headline VI
GB Adults,2nd April 2025,,,,,,region,South East,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,25.1,15.2,20.4,9.9,28.0,1.0,,,,,2nd-April-Find-Out-Now-VI.xlsx,Headline VI
GB Adults,2nd April 2025,,,,,,region,South West,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,21.2,17.0,24.5,5.7,30.0,1.7,,,,,2nd-April-Find-Out-Now-VI.xlsx,Headline VI
GB Adults,2nd April 2025,,,,,,region,Wales,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,15.1,27.6,7.6,6.6,21.7,3.1,,,,,2nd-April-Find-Out-Now-VI.xlsx,Headline VI
GB Adults,2nd April 2025,,,,,,region,West Midlands,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,17.8,18.2,11.9,13.1,37.3,1.8,,,,,2nd-April-Find-Out-Now-VI.xlsx,Headline VI
GB Adults,2nd April 2025,,,,,,region,Yorkshire and the Humber,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,18.7,30.0,8.7,7.9,32.1,2.5,,,,,2nd-April-Find-Out-Now-VI.xlsx,Headline VI
GB Adults,2nd April 2025,,,,,,total,All,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,51.2,14.6,6.9,13.3,,,,,,,2nd-April-Find-Out-Now-VI.xlsx,Turnout
GB Adults,2nd April 2025,,,,,,gender,Male,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,56.7,13.2,6.8,13.1,,,,,,,2nd-April-Find-Out-Now-VI.xlsx,Turnout
GB Adults,2nd April 2025,,,,,,gender,Female,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,46.0,15.8,6.9,13.4,,,,,,,2nd-April-Find-Out-Now-VI.xlsx,Turnout
GB Adults,2nd April 2025,,,,,,age,18-29,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,58.6,14.9,2.5,10.0,,,,,,,2nd-April-Find-Out-Now-VI.xlsx,Turnout
GB Adults,2nd April 2025,,,,,,age,30-39,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,40.2,14.6,9.5,14.9,,,,,,,2nd-April-Find-Out-Now-VI.xlsx,Turnout
GB Adults,2nd April 2025,,,,,,age,40-54,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,43.8,14.2,7.9,16.2,,,,,,,2nd-April-Find-Out-Now-VI.xlsx,Turnout
GB Adults,2nd April 2025,,,,,,age,55-64,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,48.8,15.9,8.8,15.5,,,,,,,2nd-April-Find-Out-Now-VI.xlsx,Turnout
GB Adults,2nd April 2025,,,,,,age,65-74,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,58.5,13.9,8.0,11.6,,,,,,,2nd-April-Find-Out-Now-VI.xlsx,Turnout
