Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
GB Adults,2nd September 2026,,,,,,total,All,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,19.9,25.8,9.5,14.0,21.1,5.8,,,,,2nd-September-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,2nd September 2026,,,,,,gender,Male,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,17.7,27.5,8.1,12.1,24.2,6.3,,,,,2nd-September-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,2nd September 2026,,,,,,gender,Female,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,22.5,23.7,11.2,16.3,17.5,5.2,,,,,2nd-September-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,2nd September 2026,,,,,,age,18-29,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,7.5,24.1,10.4,30.8,12.7,8.7,,,,,2nd-September-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,2nd September 2026,,,,,,age,30-39,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,10.1,36.5,9.1,21.1,14.0,5.3,,,,,2nd-September-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,2nd September 2026,,,,,,age,40-54,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,18.7,31.5,9.2,13.8,17.6,5.4,,,,,2nd-September-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,2nd September 2026,,,,,,age,55-64,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,21.9,23.1,7.7,9.2,26.8,8.7,,,,,2nd-September-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,2nd September 2026,,,,,,age,65-74,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,24.3,20.3,12.4,5.5,28.5,5.0,,,,,2nd-September-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,2nd September 2026,,,,,,age,75+,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,39.2,15.2,8.2,3.3,29.4,1.8,,,,,2nd-September-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,2nd September 2026,,,,,,region,East Midlands,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,23.5,21.3,7.7,15.8,23.7,8.1,,,,,2nd-September-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,2nd September 2026,,,,,,region,East of England,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,22.7,18.7,13.7,15.5,21.9,7.6,,,,,2nd-September-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,2nd September 2026,,,,,,region,London,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,16.5,34.1,11.2,17.8,14.4,6.0,,,,,2nd-September-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,2nd September 2026,,,,,,region,North East,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,20.3,38.4,3.8,11.7,20.4,5.4,,,,,2nd-September-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,2nd September 2026,,,,,,region,North West,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,15.1,44.7,3.7,12.5,19.0,5.1,,,,,2nd-September-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,2nd September 2026,,,,,,region,Scotland,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,15.7,14.6,11.1,8.1,17.2,4.5,,,,,2nd-September-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,2nd September 2026,,,,,,region,South East,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,21.8,17.9,11.6,17.1,28.0,2.6,,,,,2nd-September-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,2nd September 2026,,,,,,region,South West,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,19.7,15.6,15.9,15.3,26.8,4.5,,,,,2nd-September-VI-Find-Out-Now.xlsx,Headline VI
