Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
GB Adults,8th to 9th July 2026,,,,,,total,All,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,20.0,18.1,13.1,16.1,23.1,5.3,,,,,8th-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,8th to 9th July 2026,,,,,,gender,Male,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,17.9,19.9,11.6,14.2,25.9,7.0,,,,,8th-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,8th to 9th July 2026,,,,,,gender,Female,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,22.5,15.9,15.0,18.5,19.6,3.1,,,,,8th-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,8th to 9th July 2026,,,,,,age,18-29,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,6.5,18.7,16.9,34.3,12.6,8.6,,,,,8th-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,8th to 9th July 2026,,,,,,age,30-39,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,8.5,19.9,15.4,34.5,11.7,5.6,,,,,8th-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,8th to 9th July 2026,,,,,,age,40-54,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,16.5,25.6,14.6,12.6,20.0,4.6,,,,,8th-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,8th to 9th July 2026,,,,,,age,55-64,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,19.7,17.5,7.8,8.9,37.8,6.1,,,,,8th-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,8th to 9th July 2026,,,,,,age,65-74,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,30.5,14.7,11.4,4.1,25.6,4.7,,,,,8th-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,8th to 9th July 2026,,,,,,age,75+,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,41.9,8.3,12.2,2.0,32.2,2.0,,,,,8th-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,8th to 9th July 2026,,,,,,region,East Midlands,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,36.3,7.2,6.5,11.5,33.6,4.9,,,,,8th-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,8th to 9th July 2026,,,,,,region,East of England,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,23.2,17.5,20.6,10.9,22.0,5.7,,,,,8th-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,8th to 9th July 2026,,,,,,region,London,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,18.7,24.5,11.6,29.6,13.1,2.6,,,,,8th-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,8th to 9th July 2026,,,,,,region,North East,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,18.5,16.0,10.0,13.5,29.2,12.8,,,,,8th-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,8th to 9th July 2026,,,,,,region,North West,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,11.2,31.4,8.1,17.3,27.9,4.1,,,,,8th-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,8th to 9th July 2026,,,,,,region,Scotland,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,14.1,16.7,12.5,7.2,9.6,4.1,,,,,8th-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,8th to 9th July 2026,,,,,,region,South East,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,18.6,10.1,15.2,15.5,30.1,9.6,,,,,8th-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,8th to 9th July 2026,,,,,,region,South West,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,30.1,11.3,21.2,12.7,21.7,3.1,,,,,8th-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,8th to 9th July 2026,,,,,,region,Wales,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,25.4,16.3,2.3,8.4,24.1,5.7,,,,,8th-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,8th to 9th July 2026,,,,,,region,West Midlands,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,19.6,20.8,13.1,17.9,23.7,4.8,,,,,8th-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,8th to 9th July 2026,,,,,,region,Yorkshire and the Humber,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,8.1,21.7,17.4,17.8,30.4,4.7,,,,,8th-July-VI-Find-Out-Now.xlsx,Headline VI
GB Adults,8th to 9th July 2026,,,,,,total,All,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,50.8,14.7,6.2,11.3,,,,,,,8th-July-VI-Find-Out-Now.xlsx,Turnout
GB Adults,8th to 9th July 2026,,,,,,gender,Male,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,57.6,13.4,4.9,10.8,,,,,,,8th-July-VI-Find-Out-Now.xlsx,Turnout
GB Adults,8th to 9th July 2026,,,,,,gender,Female,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,44.4,15.8,7.5,11.9,,,,,,,8th-July-VI-Find-Out-Now.xlsx,Turnout
GB Adults,8th to 9th July 2026,,,,,,age,18-29,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,41.4,17.4,8.2,16.1,,,,,,,8th-July-VI-Find-Out-Now.xlsx,Turnout
GB Adults,8th to 9th July 2026,,,,,,age,30-39,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,47.5,12.2,5.1,12.9,,,,,,,8th-July-VI-Find-Out-Now.xlsx,Turnout
GB Adults,8th to 9th July 2026,,,,,,age,40-54,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,44.9,14.6,7.2,12.0,,,,,,,8th-July-VI-Find-Out-Now.xlsx,Turnout
GB Adults,8th to 9th July 2026,,,,,,age,55-64,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,55.0,14.8,5.1,9.7,,,,,,,8th-July-VI-Find-Out-Now.xlsx,Turnout
GB Adults,8th to 9th July 2026,,,,,,age,65-74,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,60.3,13.0,8.0,8.0,,,,,,,8th-July-VI-Find-Out-Now.xlsx,Turnout
GB Adults,8th to 9th July 2026,,,,,,age,75+,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,68.2,15.9,2.1,5.5,,,,,,,8th-July-VI-Find-Out-Now.xlsx,Turnout
GB Adults,8th to 9th July 2026,,,,,,region,East Midlands,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,52.3,13.9,6.4,14.2,,,,,,,8th-July-VI-Find-Out-Now.xlsx,Turnout
GB Adults,8th to 9th July 2026,,,,,,region,East of England,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,47.9,18.3,10.2,11.9,,,,,,,8th-July-VI-Find-Out-Now.xlsx,Turnout
GB Adults,8th to 9th July 2026,,,,,,region,London,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,58.6,12.0,1.4,10.5,,,,,,,8th-July-VI-Find-Out-Now.xlsx,Turnout
GB Adults,8th to 9th July 2026,,,,,,region,North East,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,59.7,13.5,6.2,8.0,,,,,,,8th-July-VI-Find-Out-Now.xlsx,Turnout
GB Adults,8th to 9th July 2026,,,,,,region,North West,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,43.7,15.6,7.9,13.1,,,,,,,8th-July-VI-Find-Out-Now.xlsx,Turnout
GB Adults,8th to 9th July 2026,,,,,,region,Scotland,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,54.2,12.6,7.7,10.0,,,,,,,8th-July-VI-Find-Out-Now.xlsx,Turnout
GB Adults,8th to 9th July 2026,,,,,,region,South East,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,48.0,14.2,4.6,12.6,,,,,,,8th-July-VI-Find-Out-Now.xlsx,Turnout
GB Adults,8th to 9th July 2026,,,,,,region,South West,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,52.3,14.9,6.5,11.4,,,,,,,8th-July-VI-Find-Out-Now.xlsx,Turnout
GB Adults,8th to 9th July 2026,,,,,,region,Wales,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,52.1,14.3,11.0,8.6,,,,,,,8th-July-VI-Find-Out-Now.xlsx,Turnout
