Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
GB Adults,9th September 2026,,,,,,total,All,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,17.7,25.5,12.2,12.3,22.9,5.7,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,9th September 2026,,,,,,gender,Male,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,17.0,25.9,11.4,10.2,25.6,6.7,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,9th September 2026,,,,,,gender,Female,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,18.5,25.1,13.2,14.8,19.5,4.4,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,9th September 2026,,,,,,age,18-29,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,7.8,26.2,15.8,27.5,11.8,7.5,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,9th September 2026,,,,,,age,30-39,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,8.7,30.3,13.8,23.7,13.5,7.4,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,9th September 2026,,,,,,age,40-54,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,16.2,29.4,12.1,9.0,23.0,5.1,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,9th September 2026,,,,,,age,55-64,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,17.3,26.9,9.7,7.0,26.1,7.3,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,9th September 2026,,,,,,age,65-74,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,24.3,21.5,9.9,3.2,32.8,5.0,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,9th September 2026,,,,,,age,75+,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,33.0,16.5,11.9,4.1,30.7,1.7,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,9th September 2026,,,,,,region,East Midlands,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,13.0,32.5,10.2,15.8,22.9,5.5,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,9th September 2026,,,,,,region,East of England,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,19.0,19.8,16.0,16.6,24.0,4.6,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,9th September 2026,,,,,,region,London,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,18.2,32.9,9.5,18.8,15.0,5.6,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,9th September 2026,,,,,,region,North East,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,14.8,29.8,14.1,10.0,31.3,,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,9th September 2026,,,,,,region,North West,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,14.4,38.9,8.1,7.7,27.5,3.4,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,9th September 2026,,,,,,region,Scotland,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,9.5,14.3,13.0,6.1,19.7,6.4,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,9th September 2026,,,,,,region,South East,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,27.9,17.5,22.7,10.9,16.8,4.1,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,9th September 2026,,,,,,region,South West,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,23.7,11.5,17.4,9.7,29.0,8.7,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,9th September 2026,,,,,,region,Wales,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,12.3,36.4,6.1,4.2,11.8,10.0,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,9th September 2026,,,,,,region,West Midlands,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,16.7,26.3,5.8,13.6,32.3,5.3,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,9th September 2026,,,,,,region,Yorkshire and the Humber,Headline VI,Voting intention (Westminster),headline vi,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,16.6,22.9,7.8,13.3,29.6,9.8,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Headline VI
GB Adults,9th September 2026,,,,,,total,All,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,51.1,13.0,5.9,12.3,,,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Turnout
GB Adults,9th September 2026,,,,,,gender,Male,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,57.7,12.9,4.8,11.2,,,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Turnout
GB Adults,9th September 2026,,,,,,gender,Female,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,45.0,13.1,6.8,13.4,,,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Turnout
GB Adults,9th September 2026,,,,,,age,18-29,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,39.2,12.9,8.0,17.7,,,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Turnout
GB Adults,9th September 2026,,,,,,age,30-39,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,51.9,12.9,5.4,10.3,,,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Turnout
GB Adults,9th September 2026,,,,,,age,40-54,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,46.1,12.9,6.2,14.8,,,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Turnout
GB Adults,9th September 2026,,,,,,age,55-64,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,53.3,13.6,5.4,12.4,,,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Turnout
GB Adults,9th September 2026,,,,,,age,65-74,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,57.3,13.1,7.6,7.9,,,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Turnout
GB Adults,9th September 2026,,,,,,age,75+,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,71.4,12.5,0.8,6.0,,,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Turnout
GB Adults,9th September 2026,,,,,,region,East Midlands,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,49.8,13.1,6.1,15.2,,,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Turnout
GB Adults,9th September 2026,,,,,,region,East of England,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,53.2,8.1,3.5,16.8,,,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Turnout
GB Adults,9th September 2026,,,,,,region,London,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,61.0,10.5,5.7,6.8,,,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Turnout
GB Adults,9th September 2026,,,,,,region,North East,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,51.7,21.4,7.4,9.7,,,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Turnout
GB Adults,9th September 2026,,,,,,region,North West,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,44.9,13.3,3.6,17.5,,,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Turnout
GB Adults,9th September 2026,,,,,,region,Scotland,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,60.6,9.7,6.6,8.7,,,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Turnout
GB Adults,9th September 2026,,,,,,region,South East,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,46.2,12.7,8.2,13.3,,,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Turnout
GB Adults,9th September 2026,,,,,,region,South West,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,43.5,13.0,5.7,15.7,,,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Turnout
GB Adults,9th September 2026,,,,,,region,Wales,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,44.9,19.2,10.9,11.0,,,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Turnout
GB Adults,9th September 2026,,,,,,region,West Midlands,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,53.5,13.8,5.0,7.7,,,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Turnout
GB Adults,9th September 2026,,,,,,region,Yorkshire and the Humber,Likelihood to vote,UNMATCHED,,I would definitely vote,I would be very likely to vote,I would be unlikely to vote,I would definitely not vote,,,,,,,50.1,17.4,4.6,12.0,,,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Turnout
GB Adults,9th September 2026,,,,,,total,All,Voting,UNMATCHED,,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,10.7,15.3,7.0,8.0,14.4,5.6,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Voting
GB Adults,9th September 2026,,,,,,gender,Male,Voting,UNMATCHED,,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,11.6,17.9,7.1,7.1,17.7,7.7,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Voting
GB Adults,9th September 2026,,,,,,gender,Female,Voting,UNMATCHED,,Conservative,Labour,Liberal Democrats,Green Party,Reform UK,Other,,,,,9.8,12.9,7.0,8.9,11.3,3.5,,,,,9th-September-VI-Find-Out-Now (1).xlsx,Voting
