Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
"1,240 UK Adults",3 - 5 July 2026,,,,,,total,Total,Back to TOC,UNMATCHED,,Right direction,Wrong direction,Unsure,Reducing inflation & the cost of living,Reducing immigration to the UK,Improving health & social care,Strengthening the national economy,Improving defence & national security,Reducing crime & antisocial behaviour,Improving wages and job security,22.5,72.6,1.9,15.4,10.8,18.9,15.0,16.8,14.2,17.5,Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-060726.xlsx,Tables
"1,240 UK Adults",3 - 5 July 2026,,,,,,total,Male,Back to TOC,UNMATCHED,,Right direction,Wrong direction,Unsure,Reducing inflation & the cost of living,Reducing immigration to the UK,Improving health & social care,Strengthening the national economy,Improving defence & national security,Reducing crime & antisocial behaviour,Improving wages and job security,26.8,70.8,1.9,9.3,3.8,10.4,8.5,4.7,7.5,8.1,Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-060726.xlsx,Tables
"1,240 UK Adults",3 - 5 July 2026,,,,,,total,Female,Back to TOC,UNMATCHED,,Right direction,Wrong direction,Unsure,Reducing inflation & the cost of living,Reducing immigration to the UK,Improving health & social care,Strengthening the national economy,Improving defence & national security,Reducing crime & antisocial behaviour,Improving wages and job security,18.3,74.4,1.9,7.8,3.6,11.3,6.8,5.4,7.0,7.9,Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-060726.xlsx,Tables
"1,240 UK Adults",3 - 5 July 2026,,,,,,total,Aged 18-34,Back to TOC,UNMATCHED,,Right direction,Wrong direction,Unsure,Reducing inflation & the cost of living,Reducing immigration to the UK,Improving health & social care,Strengthening the national economy,Improving defence & national security,Reducing crime & antisocial behaviour,Improving wages and job security,34.1,59.9,2.7,24.8,23.9,24.0,24.0,25.1,24.2,25.1,Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-060726.xlsx,Tables
"1,240 UK Adults",3 - 5 July 2026,,,,,,total,Aged 35-54,Back to TOC,UNMATCHED,,Right direction,Wrong direction,Unsure,Reducing inflation & the cost of living,Reducing immigration to the UK,Improving health & social care,Strengthening the national economy,Improving defence & national security,Reducing crime & antisocial behaviour,Improving wages and job security,21.3,72.8,1.9,22.0,12.3,16.7,23.1,23.1,19.6,20.3,Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-060726.xlsx,Tables
"1,240 UK Adults",3 - 5 July 2026,,,,,,total,Aged 55+,Back to TOC,UNMATCHED,,Right direction,Wrong direction,Unsure,Reducing inflation & the cost of living,Reducing immigration to the UK,Improving health & social care,Strengthening the national economy,Improving defence & national security,Reducing crime & antisocial behaviour,Improving wages and job security,15.6,81.1,1.3,20.6,45.6,18.8,22.5,24.9,27.4,21.1,Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-060726.xlsx,Tables
"1,240 UK Adults",3 - 5 July 2026,,,,,,total,"Less than £30,000",Back to TOC,UNMATCHED,,Right direction,Wrong direction,Unsure,Other,The Green Party,Reform UK,Nigel Farage,Kemi Badenoch,Keir Starmer,Ed Miliband,19.1,74.4,2.9,1.7,13.5,30.4,32.9,43.6,35.2,20.4,Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-060726.xlsx,Tables
"1,240 UK Adults",3 - 5 July 2026,,,,,,total,"£30,000 - £59,999",Back to TOC,UNMATCHED,,Right direction,Wrong direction,Unsure,Other,The Green Party,Reform UK,Nigel Farage,Kemi Badenoch,Keir Starmer,Ed Miliband,21.4,76.4,0.6,0.1,9.3,34.0,38.6,50.6,41.8,24.7,Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-060726.xlsx,Tables
"1,240 UK Adults",3 - 5 July 2026,,,,,,total,"£60,000 or higher",Back to TOC,UNMATCHED,,Right direction,Wrong direction,Unsure,Other,The Green Party,Reform UK,Nigel Farage,Kemi Badenoch,Keir Starmer,Ed Miliband,33.0,64.5,1.1,1.2,8.5,19.2,28.4,56.8,54.5,28.2,Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-060726.xlsx,Tables
"1,240 UK Adults",3 - 5 July 2026,,,,,,total,East England,Back to TOC,UNMATCHED,,Right direction,Wrong direction,Unsure,Other,The Green Party,Reform UK,Nigel Farage,Kemi Badenoch,Keir Starmer,Ed Miliband,27.4,69.2,1.8,1.1,10.2,36.1,37.0,48.7,40.7,21.7,Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-060726.xlsx,Tables
"1,240 UK Adults",3 - 5 July 2026,,,,,,total,East Midlands,Back to TOC,UNMATCHED,,Right direction,Wrong direction,Unsure,Other,The Green Party,Reform UK,Nigel Farage,Kemi Badenoch,Keir Starmer,Ed Miliband,22.7,73.2,,,15.8,31.2,31.7,49.6,37.3,22.3,Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-060726.xlsx,Tables
"1,240 UK Adults",3 - 5 July 2026,,,,,,total,London,Back to TOC,UNMATCHED,,Right direction,Wrong direction,Unsure,Other,The Green Party,Reform UK,Nigel Farage,Kemi Badenoch,Keir Starmer,Ed Miliband,29.9,68.0,3.4,0.3,18.0,17.7,33.4,51.4,47.4,23.0,Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-060726.xlsx,Tables
"1,240 UK Adults",3 - 5 July 2026,,,,,,total,North East,Back to TOC,UNMATCHED,,Right direction,Wrong direction,Unsure,Other,The Green Party,Reform UK,Nigel Farage,Kemi Badenoch,Keir Starmer,Ed Miliband,27.0,69.8,,,5.9,35.9,42.7,43.3,43.5,29.3,Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-060726.xlsx,Tables
"1,240 UK Adults",3 - 5 July 2026,,,,,,total,North West,Back to TOC,UNMATCHED,,Right direction,Wrong direction,Unsure,Other,The Green Party,Reform UK,Nigel Farage,Kemi Badenoch,Keir Starmer,Ed Miliband,23.0,69.2,1.4,1.7,9.8,27.2,33.8,38.9,48.8,30.7,Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-060726.xlsx,Tables
"1,240 UK Adults",3 - 5 July 2026,,,,,,total,South East,Back to TOC,UNMATCHED,,Right direction,Wrong direction,Unsure,Other,The Green Party,Reform UK,Nigel Farage,Kemi Badenoch,Keir Starmer,Ed Miliband,16.3,78.9,3.8,,9.5,36.9,39.6,43.9,36.1,20.3,Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-060726.xlsx,Tables
"1,240 UK Adults",3 - 5 July 2026,,,,,,total,South West,Back to TOC,UNMATCHED,,Right direction,Wrong direction,Unsure,Other,The Green Party,Reform UK,Nigel Farage,Kemi Badenoch,Keir Starmer,Ed Miliband,20.7,75.5,0.8,1.8,8.6,23.9,24.8,56.5,35.6,20.6,Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-060726.xlsx,Tables
"1,240 UK Adults",3 - 5 July 2026,,,,,,total,West Midlands,Back to TOC,UNMATCHED,,Right direction,Wrong direction,Unsure,Other,The Green Party,Reform UK,Nigel Farage,Kemi Badenoch,Keir Starmer,Ed Miliband,20.6,69.4,3.3,0.9,11.5,27.4,32.8,53.9,42.3,20.0,Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-060726.xlsx,Tables
"1,240 UK Adults",3 - 5 July 2026,,,,,,total,Yorkshire and the Humber,Back to TOC,UNMATCHED,,Right direction,Wrong direction,Unsure,Other,The Green Party,Reform UK,Nigel Farage,Kemi Badenoch,Keir Starmer,Ed Miliband,20.5,75.6,1.1,3.7,8.0,22.5,28.4,50.3,39.5,16.7,Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-060726.xlsx,Tables
