Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
,,,,,,,age,18 - 24,Banner Tables,UNMATCHED,,Reform UK,Labour,Conservative,Green Party,Liberal Democrats,An independent candidate or other party (e.g. Your Party / Restore Britain / Workers Party),Scottish National Party (SNP),Plaid Cymru,An independent candidate,Restore Britain,23.9,17.9,12.2,37.3,4.8,2.0,1.5,2.2,0.0,0.1,"Focaldata_March VI tables, 6-10 Mar 2026 (1).xlsx",Tables
,,,,,,,age,25 - 34,Banner Tables,UNMATCHED,,Reform UK,Labour,Conservative,Green Party,Liberal Democrats,An independent candidate or other party (e.g. Your Party / Restore Britain / Workers Party),Scottish National Party (SNP),Plaid Cymru,An independent candidate,Restore Britain,26.8,26.9,6.4,21.5,13.7,5.1,1.5,0.5,0.3,1.3,"Focaldata_March VI tables, 6-10 Mar 2026 (1).xlsx",Tables
,,,,,,,age,35 - 44,Banner Tables,UNMATCHED,,Reform UK,Labour,Conservative,Green Party,Liberal Democrats,An independent candidate or other party (e.g. Your Party / Restore Britain / Workers Party),Scottish National Party (SNP),Plaid Cymru,An independent candidate,Restore Britain,25.1,33.7,11.9,13.1,11.4,5.2,1.1,1.4,0.6,0.9,"Focaldata_March VI tables, 6-10 Mar 2026 (1).xlsx",Tables
,,,,,,,age,45 - 54,Banner Tables,UNMATCHED,,Reform UK,Labour,Conservative,Green Party,Liberal Democrats,An independent candidate or other party (e.g. Your Party / Restore Britain / Workers Party),Scottish National Party (SNP),Plaid Cymru,An independent candidate,Restore Britain,29.9,15.3,17.0,13.8,9.1,15.3,2.2,0.4,8.0,3.6,"Focaldata_March VI tables, 6-10 Mar 2026 (1).xlsx",Tables
,,,,,,,age,55 - 64,Banner Tables,UNMATCHED,,Reform UK,Labour,Conservative,Green Party,Liberal Democrats,An independent candidate or other party (e.g. Your Party / Restore Britain / Workers Party),Scottish National Party (SNP),Plaid Cymru,An independent candidate,Restore Britain,30.6,16.5,13.3,10.0,15.7,1.7,2.9,1.7,0.7,3.8,"Focaldata_March VI tables, 6-10 Mar 2026 (1).xlsx",Tables
,,,,,,,age,65+,Banner Tables,UNMATCHED,,Reform UK,Labour,Conservative,Green Party,Liberal Democrats,An independent candidate or other party (e.g. Your Party / Restore Britain / Workers Party),Scottish National Party (SNP),Plaid Cymru,An independent candidate,Restore Britain,26.4,13.6,31.0,5.4,17.8,16.4,3.2,0.0,2.4,0.0,"Focaldata_March VI tables, 6-10 Mar 2026 (1).xlsx",Tables
,,,,,,,gender,Male,Banner Tables,UNMATCHED,,Reform UK,Labour,Conservative,Green Party,Liberal Democrats,An independent candidate or other party (e.g. Your Party / Restore Britain / Workers Party),Scottish National Party (SNP),Plaid Cymru,An independent candidate,Restore Britain,29.7,19.2,17.5,10.7,14.1,15.6,1.7,0.9,3.8,1.4,"Focaldata_March VI tables, 6-10 Mar 2026 (1).xlsx",Tables
,,,,,,,gender,Female,Banner Tables,UNMATCHED,,Reform UK,Labour,Conservative,Green Party,Liberal Democrats,An independent candidate or other party (e.g. Your Party / Restore Britain / Workers Party),Scottish National Party (SNP),Plaid Cymru,An independent candidate,Restore Britain,25.0,20.0,18.3,15.7,13.1,3.3,2.9,0.7,0.7,1.8,"Focaldata_March VI tables, 6-10 Mar 2026 (1).xlsx",Tables
,,,,,,,region,North of England,Banner Tables,UNMATCHED,,Reform UK,Labour,Conservative,Green Party,Liberal Democrats,An independent candidate or other party (e.g. Your Party / Restore Britain / Workers Party),Scottish National Party (SNP),Plaid Cymru,An independent candidate,Restore Britain,30.0,23.6,16.0,17.8,7.4,11.3,0.0,0.0,2.9,1.5,"Focaldata_March VI tables, 6-10 Mar 2026 (1).xlsx",Tables
,,,,,,,region,Midlands,Banner Tables,UNMATCHED,,Reform UK,Labour,Conservative,Green Party,Liberal Democrats,An independent candidate or other party (e.g. Your Party / Restore Britain / Workers Party),Scottish National Party (SNP),Plaid Cymru,An independent candidate,Restore Britain,30.2,27.0,16.2,17.1,7.2,0.0,0.0,0.0,0.3,2.1,"Focaldata_March VI tables, 6-10 Mar 2026 (1).xlsx",Tables
