Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
"2,050 UK adults",30 April - 2 May 2025,,,,1778,,total,Total,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,15.4,20.7,10.2,7.4,2.4,1.0,22.0,1.8,,,Observer-VI-2025-04-30-Data-Tables.xlsx,V003
"2,050 UK adults",30 April - 2 May 2025,,,,1778,,historic_vote,Conservative,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,59.7,4.0,1.6,0.9,,,19.8,0.4,,,Observer-VI-2025-04-30-Data-Tables.xlsx,V003
"2,050 UK adults",30 April - 2 May 2025,,,,1778,,historic_vote,Labour ,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,3.8,56.5,6.1,6.2,0.9,0.1,10.5,1.4,,,Observer-VI-2025-04-30-Data-Tables.xlsx,V003
"2,050 UK adults",30 April - 2 May 2025,,,,1778,,historic_vote,Lib Dems,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,1.8,7.7,69.7,2.9,0.5,1.5,3.4,,,,Observer-VI-2025-04-30-Data-Tables.xlsx,V003
"2,050 UK adults",30 April - 2 May 2025,,,,1778,,historic_vote,Green ,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,3.3,3.9,1.9,70.7,,,4.8,,,,Observer-VI-2025-04-30-Data-Tables.xlsx,V003
"2,050 UK adults",30 April - 2 May 2025,,,,1778,,historic_vote,Reform UK ,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,3.3,0.9,1.0,0.6,,,87.5,0.4,,,Observer-VI-2025-04-30-Data-Tables.xlsx,V003
"2,050 UK adults",30 April - 2 May 2025,,,,1778,,historic_vote,Con,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,35.9,5.6,5.7,2.0,0.2,0.1,33.5,0.9,,,Observer-VI-2025-04-30-Data-Tables.xlsx,V003
"2,050 UK adults",30 April - 2 May 2025,,,,1778,,historic_vote,Lab,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,2.5,52.7,6.6,11.9,0.2,0.5,9.4,1.9,,,Observer-VI-2025-04-30-Data-Tables.xlsx,V003
"2,050 UK adults",30 April - 2 May 2025,,,,1778,,historic_vote,Lib Dem,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,5.1,10.7,56.8,3.5,,2.2,4.7,,,,Observer-VI-2025-04-30-Data-Tables.xlsx,V003
"2,050 UK adults",30 April - 2 May 2025,,,,1778,,historic_vote,Remain,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,12.6,29.9,15.1,8.8,4.3,1.9,7.4,2.0,,,Observer-VI-2025-04-30-Data-Tables.xlsx,V003
"2,050 UK adults",30 April - 2 May 2025,,,,1778,,historic_vote,Leave,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,20.3,9.1,5.9,4.2,0.9,0.3,40.1,1.6,,,Observer-VI-2025-04-30-Data-Tables.xlsx,V003
"2,050 UK adults",30 April - 2 May 2025,,,,1778,,gender,Male,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,18.4,22.8,9.4,6.7,2.7,0.9,25.0,1.5,,,Observer-VI-2025-04-30-Data-Tables.xlsx,V003
"2,050 UK adults",30 April - 2 May 2025,,,,1778,,gender,Female,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,12.6,18.8,11.0,8.0,2.1,1.1,19.2,2.1,,,Observer-VI-2025-04-30-Data-Tables.xlsx,V003
"2,050 UK adults",30 April - 2 May 2025,,,,1778,,age,18-34,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,11.9,30.4,7.4,12.0,2.2,1.5,16.4,1.9,,,Observer-VI-2025-04-30-Data-Tables.xlsx,V003
"2,050 UK adults",30 April - 2 May 2025,,,,1778,,age,35-49,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,9.6,23.0,10.5,7.8,1.4,1.0,19.5,2.2,,,Observer-VI-2025-04-30-Data-Tables.xlsx,V003
"2,050 UK adults",30 April - 2 May 2025,,,,1778,,age,50-64,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,14.3,19.1,11.9,6.2,2.9,1.0,24.1,1.7,,,Observer-VI-2025-04-30-Data-Tables.xlsx,V003
"2,050 UK adults",30 April - 2 May 2025,,,,1778,,age,65+,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,25.8,9.3,11.3,3.1,3.1,0.6,28.6,1.2,,,Observer-VI-2025-04-30-Data-Tables.xlsx,V003
