Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
"2,054 UK adults",4-6 February 2026,,,,1810,,total,Total,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,13.6,19.0,8.6,10.5,26.1,2.8,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,current_vote,Con,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,current_vote,Lab,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,current_vote,Lib Dem,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,current_vote,Reform,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,current_vote,Green,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,100.0,,,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,historic_vote,Conservative,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,57.6,2.9,2.0,1.1,27.6,0.3,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,historic_vote,Labour ,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,2.8,49.9,5.2,11.1,13.8,2.6,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,historic_vote,Lib Dems,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,2.6,7.2,59.2,4.9,11.9,1.1,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,historic_vote,Reform UK ,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,3.3,2.8,0.3,1.2,83.4,2.3,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,historic_vote,Green ,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,1.4,5.4,2.9,64.1,11.6,2.5,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,historic_vote,Con,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,35.8,4.6,3.1,2.1,39.7,1.4,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,historic_vote,Lab,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,1.4,50.5,5.2,15.3,11.3,3.4,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,historic_vote,Lib Dem,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,2.6,7.1,62.0,5.1,11.1,1.5,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,historic_vote,Remain,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,15.3,28.3,12.7,11.5,10.9,2.5,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,historic_vote,Leave,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,16.1,9.2,5.8,5.7,46.4,3.0,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,gender,Male,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,12.6,21.5,9.4,8.8,29.6,2.6,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,gender,Female,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,14.6,16.8,7.8,12.1,22.5,3.0,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,age,18-34,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,7.7,26.9,5.6,14.9,19.9,3.1,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,age,35-49,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,13.2,21.0,7.5,14.3,22.3,3.0,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,age,50-64,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,13.3,16.2,9.4,8.3,27.2,3.0,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,age,65+,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,20.6,11.3,12.2,4.1,35.3,2.2,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,region,North,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,11.6,22.1,7.1,13.5,28.1,2.6,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,region,Mids,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,13.9,18.7,6.6,12.4,29.5,1.5,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,region,London,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,14.3,34.9,9.3,9.3,13.2,7.1,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,region,South,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,16.2,12.9,12.0,8.7,28.9,2.4,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,region,Wales,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,12.5,16.5,6.9,9.0,21.1,1.8,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,region,Scotland,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,7.6,11.5,2.8,8.2,26.0,1.3,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1810,,region,Northern Ireland,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,V003
"2,054 UK adults",4-6 February 2026,,,,1509,,total,Total,Q:HeadlineVI. Headline VI,Voting intention (Westminster),headline vi,Con,Lab,Lib Dem,Green,Reform,Other,,,,,16.3,22.8,10.3,12.6,31.2,3.4,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,HeadlineVI
"2,054 UK adults",4-6 February 2026,,,,1509,,current_vote,Con,Q:HeadlineVI. Headline VI,Voting intention (Westminster),headline vi,Con,Lab,Lib Dem,Green,Reform,Other,,,,,,,,,,,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,HeadlineVI
"2,054 UK adults",4-6 February 2026,,,,1509,,current_vote,Lab,Q:HeadlineVI. Headline VI,Voting intention (Westminster),headline vi,Con,Lab,Lib Dem,Green,Reform,Other,,,,,,,,,,,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,HeadlineVI
"2,054 UK adults",4-6 February 2026,,,,1509,,current_vote,Lib Dem,Q:HeadlineVI. Headline VI,Voting intention (Westminster),headline vi,Con,Lab,Lib Dem,Green,Reform,Other,,,,,,,,,,,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,HeadlineVI
"2,054 UK adults",4-6 February 2026,,,,1509,,current_vote,Reform,Q:HeadlineVI. Headline VI,Voting intention (Westminster),headline vi,Con,Lab,Lib Dem,Green,Reform,Other,,,,,,,,,,,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,HeadlineVI
"2,054 UK adults",4-6 February 2026,,,,1509,,current_vote,Green,Q:HeadlineVI. Headline VI,Voting intention (Westminster),headline vi,Con,Lab,Lib Dem,Green,Reform,Other,,,,,,,,100.0,,,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,HeadlineVI
"2,054 UK adults",4-6 February 2026,,,,1509,,historic_vote,Conservative,Q:HeadlineVI. Headline VI,Voting intention (Westminster),headline vi,Con,Lab,Lib Dem,Green,Reform,Other,,,,,63.1,3.1,2.2,1.2,30.2,0.3,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,HeadlineVI
"2,054 UK adults",4-6 February 2026,,,,1509,,historic_vote,Labour ,Q:HeadlineVI. Headline VI,Voting intention (Westminster),headline vi,Con,Lab,Lib Dem,Green,Reform,Other,,,,,3.2,57.3,6.0,12.8,15.8,3.0,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,HeadlineVI
"2,054 UK adults",4-6 February 2026,,,,1509,,historic_vote,Lib Dems,Q:HeadlineVI. Headline VI,Voting intention (Westminster),headline vi,Con,Lab,Lib Dem,Green,Reform,Other,,,,,2.9,8.2,67.1,5.5,13.5,1.2,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,HeadlineVI
"2,054 UK adults",4-6 February 2026,,,,1509,,historic_vote,Reform UK ,Q:HeadlineVI. Headline VI,Voting intention (Westminster),headline vi,Con,Lab,Lib Dem,Green,Reform,Other,,,,,3.5,3.0,0.3,1.3,89.4,2.4,,,,,Observer-VI-2026-02-04-Web-Data-Tables-1152 (1).xlsx,HeadlineVI
