Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
UK Adults,,,,,,,gender,Female,"Table_V1. If there were to be a general election, on a scale of 0 - 10, where 0 is would not vote and 10 is certain to vote, how likely would you be to vote?",UNMATCHED,,10 - Certain to vote,9,8,7,6,5,4,3,2,1,47.7,9.2,7.9,3.5,3.3,7.5,2.6,2.2,1.7,1.7,Survation_VI_2026-08-28_Tables.xlsx,Tables
UK Adults,,,,,,,gender,Male,"Table_V1. If there were to be a general election, on a scale of 0 - 10, where 0 is would not vote and 10 is certain to vote, how likely would you be to vote?",UNMATCHED,,10 - Certain to vote,9,8,7,6,5,4,3,2,1,49.9,10.0,9.1,4.8,3.1,5.7,1.5,2.0,1.4,1.6,Survation_VI_2026-08-28_Tables.xlsx,Tables
UK Adults,,,,,,,age,18-24,"Table_V1. If there were to be a general election, on a scale of 0 - 10, where 0 is would not vote and 10 is certain to vote, how likely would you be to vote?",UNMATCHED,,10 - Certain to vote,9,8,7,6,5,4,3,2,1,27.1,7.1,10.2,4.8,9.4,10.3,8.4,5.6,0.9,3.3,Survation_VI_2026-08-28_Tables.xlsx,Tables
UK Adults,,,,,,,age,25-34,"Table_V1. If there were to be a general election, on a scale of 0 - 10, where 0 is would not vote and 10 is certain to vote, how likely would you be to vote?",UNMATCHED,,10 - Certain to vote,9,8,7,6,5,4,3,2,1,31.6,10.4,8.8,7.0,4.1,10.8,3.6,3.0,2.6,3.0,Survation_VI_2026-08-28_Tables.xlsx,Tables
UK Adults,,,,,,,age,35-44,"Table_V1. If there were to be a general election, on a scale of 0 - 10, where 0 is would not vote and 10 is certain to vote, how likely would you be to vote?",UNMATCHED,,10 - Certain to vote,9,8,7,6,5,4,3,2,1,36.8,9.7,12.9,4.1,3.9,7.6,1.6,2.8,2.2,1.6,Survation_VI_2026-08-28_Tables.xlsx,Tables
UK Adults,,,,,,,age,45-54,"Table_V1. If there were to be a general election, on a scale of 0 - 10, where 0 is would not vote and 10 is certain to vote, how likely would you be to vote?",UNMATCHED,,10 - Certain to vote,9,8,7,6,5,4,3,2,1,48.8,11.2,7.2,3.0,3.1,6.0,0.5,1.6,2.5,1.4,Survation_VI_2026-08-28_Tables.xlsx,Tables
UK Adults,,,,,,,age,55-64,"Table_V1. If there were to be a general election, on a scale of 0 - 10, where 0 is would not vote and 10 is certain to vote, how likely would you be to vote?",UNMATCHED,,10 - Certain to vote,9,8,7,6,5,4,3,2,1,57.5,8.5,8.7,5.2,1.8,5.2,1.1,0.6,1.0,0.4,Survation_VI_2026-08-28_Tables.xlsx,Tables
UK Adults,,,,,,,age,65+,"Table_V1. If there were to be a general election, on a scale of 0 - 10, where 0 is would not vote and 10 is certain to vote, how likely would you be to vote?",UNMATCHED,,10 - Certain to vote,9,8,7,6,5,4,3,2,1,73.2,9.8,4.9,1.9,0.5,2.8,0.4,0.6,0.4,0.9,Survation_VI_2026-08-28_Tables.xlsx,Tables
UK Adults,,,,,,,region,London,"Table_V1. If there were to be a general election, on a scale of 0 - 10, where 0 is would not vote and 10 is certain to vote, how likely would you be to vote?",UNMATCHED,,10 - Certain to vote,9,8,7,6,5,4,3,2,1,38.4,9.2,8.9,7.0,6.6,6.6,1.8,4.2,0.8,1.5,Survation_VI_2026-08-28_Tables.xlsx,Tables
UK Adults,,,,,,,region,South,"Table_V1. If there were to be a general election, on a scale of 0 - 10, where 0 is would not vote and 10 is certain to vote, how likely would you be to vote?",UNMATCHED,,10 - Certain to vote,9,8,7,6,5,4,3,2,1,52.7,8.4,8.7,2.5,2.4,7.2,2.0,1.7,1.8,1.3,Survation_VI_2026-08-28_Tables.xlsx,Tables
UK Adults,,,,,,,region,Midlands,"Table_V1. If there were to be a general election, on a scale of 0 - 10, where 0 is would not vote and 10 is certain to vote, how likely would you be to vote?",UNMATCHED,,10 - Certain to vote,9,8,7,6,5,4,3,2,1,43.8,12.9,7.1,4.0,3.1,8.9,2.6,1.5,1.7,2.2,Survation_VI_2026-08-28_Tables.xlsx,Tables
UK Adults,,,,,,,region,North,"Table_V1. If there were to be a general election, on a scale of 0 - 10, where 0 is would not vote and 10 is certain to vote, how likely would you be to vote?",UNMATCHED,,10 - Certain to vote,9,8,7,6,5,4,3,2,1,48.4,9.2,8.5,5.2,3.7,5.2,2.6,2.1,1.7,0.9,Survation_VI_2026-08-28_Tables.xlsx,Tables
UK Adults,,,,,,,region,England,"Table_V1. If there were to be a general election, on a scale of 0 - 10, where 0 is would not vote and 10 is certain to vote, how likely would you be to vote?",UNMATCHED,,10 - Certain to vote,9,8,7,6,5,4,3,2,1,47.6,9.6,8.4,4.2,3.5,6.9,2.3,2.2,1.6,1.4,Survation_VI_2026-08-28_Tables.xlsx,Tables
UK Adults,,,,,,,region,Scotland,"Table_V1. If there were to be a general election, on a scale of 0 - 10, where 0 is would not vote and 10 is certain to vote, how likely would you be to vote?",UNMATCHED,,10 - Certain to vote,9,8,7,6,5,4,3,2,1,56.5,6.8,6.1,4.2,1.4,6.3,0.7,0.6,2.4,4.4,Survation_VI_2026-08-28_Tables.xlsx,Tables
UK Adults,,,,,,,region,Wales,"Table_V1. If there were to be a general election, on a scale of 0 - 10, where 0 is would not vote and 10 is certain to vote, how likely would you be to vote?",UNMATCHED,,10 - Certain to vote,9,8,7,6,5,4,3,2,1,57.1,11.4,9.4,4.0,1.8,3.8,2.0,1.2,0.7,,Survation_VI_2026-08-28_Tables.xlsx,Tables
