Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
UK Adults,,,,,,,gender,Female,"Table_V1. If there were to be a general election, on a scale of 0 - 10, where 0 is would not vote and 10 is certain to vote, how likely would you be to vote?",UNMATCHED,,10 - Certain to vote,9,8,7,6,5,4,3,2,1,44.8,9.5,8.8,7.2,4.5,7.4,3.3,1.9,1.3,1.0,Survation_VI_2026-09-11_Tables-.xlsx,Tables
UK Adults,,,,,,,gender,Male,"Table_V1. If there were to be a general election, on a scale of 0 - 10, where 0 is would not vote and 10 is certain to vote, how likely would you be to vote?",UNMATCHED,,10 - Certain to vote,9,8,7,6,5,4,3,2,1,54.6,12.8,8.2,4.3,2.1,7.1,0.8,1.4,1.4,0.5,Survation_VI_2026-09-11_Tables-.xlsx,Tables
UK Adults,,,,,,,age,18-24,"Table_V1. If there were to be a general election, on a scale of 0 - 10, where 0 is would not vote and 10 is certain to vote, how likely would you be to vote?",UNMATCHED,,10 - Certain to vote,9,8,7,6,5,4,3,2,1,33.1,4.5,8.2,10.3,7.3,11.7,4.3,3.7,2.0,1.8,Survation_VI_2026-09-11_Tables-.xlsx,Tables
UK Adults,,,,,,,age,25-34,"Table_V1. If there were to be a general election, on a scale of 0 - 10, where 0 is would not vote and 10 is certain to vote, how likely would you be to vote?",UNMATCHED,,10 - Certain to vote,9,8,7,6,5,4,3,2,1,32.9,15.2,9.1,11.2,4.5,11.3,3.6,1.1,1.9,0.4,Survation_VI_2026-09-11_Tables-.xlsx,Tables
UK Adults,,,,,,,age,35-44,"Table_V1. If there were to be a general election, on a scale of 0 - 10, where 0 is would not vote and 10 is certain to vote, how likely would you be to vote?",UNMATCHED,,10 - Certain to vote,9,8,7,6,5,4,3,2,1,32.9,12.5,14.9,4.8,4.3,11.1,2.5,3.7,1.9,0.7,Survation_VI_2026-09-11_Tables-.xlsx,Tables
UK Adults,,,,,,,age,45-54,"Table_V1. If there were to be a general election, on a scale of 0 - 10, where 0 is would not vote and 10 is certain to vote, how likely would you be to vote?",UNMATCHED,,10 - Certain to vote,9,8,7,6,5,4,3,2,1,56.1,10.4,6.4,4.5,3.0,5.2,2.2,1.1,0.4,1.1,Survation_VI_2026-09-11_Tables-.xlsx,Tables
UK Adults,,,,,,,age,55-64,"Table_V1. If there were to be a general election, on a scale of 0 - 10, where 0 is would not vote and 10 is certain to vote, how likely would you be to vote?",UNMATCHED,,10 - Certain to vote,9,8,7,6,5,4,3,2,1,56.7,11.3,7.7,3.5,2.2,5.8,1.2,1.2,0.5,1.0,Survation_VI_2026-09-11_Tables-.xlsx,Tables
UK Adults,,,,,,,age,65+,"Table_V1. If there were to be a general election, on a scale of 0 - 10, where 0 is would not vote and 10 is certain to vote, how likely would you be to vote?",UNMATCHED,,10 - Certain to vote,9,8,7,6,5,4,3,2,1,70.9,10.3,5.9,3.1,1.1,2.3,0.3,0.6,1.5,0.2,Survation_VI_2026-09-11_Tables-.xlsx,Tables
UK Adults,,,,,,,region,London,"Table_V1. If there were to be a general election, on a scale of 0 - 10, where 0 is would not vote and 10 is certain to vote, how likely would you be to vote?",UNMATCHED,,10 - Certain to vote,9,8,7,6,5,4,3,2,1,48.2,10.7,7.2,9.4,2.6,8.4,2.5,1.4,2.2,0.6,Survation_VI_2026-09-11_Tables-.xlsx,Tables
UK Adults,,,,,,,region,South,"Table_V1. If there were to be a general election, on a scale of 0 - 10, where 0 is would not vote and 10 is certain to vote, how likely would you be to vote?",UNMATCHED,,10 - Certain to vote,9,8,7,6,5,4,3,2,1,56.3,10.9,9.5,4.0,2.6,6.4,1.0,1.7,0.7,0.3,Survation_VI_2026-09-11_Tables-.xlsx,Tables
