Sample,Sample detail,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Category,Sub-category,Question detail,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
,,,,,,,total,Total,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,The Brexit Party,,,,30.5,28.1,13.0,1.3,4.2,5.1,16.2,,,,VI-08-08-19-Tables.xlsx,VI_R_Final
,,,,,,,current_vote,Conservative,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,The Brexit Party,,,,,,,,,,,,,,VI-08-08-19-Tables.xlsx,VI_R_Final
,,,,,,,current_vote,Labour,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,The Brexit Party,,,,,,,,,,,,,,VI-08-08-19-Tables.xlsx,VI_R_Final
,,,,,,,current_vote,Liberal Democrat,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,The Brexit Party,,,,,,,,,,,,,,VI-08-08-19-Tables.xlsx,VI_R_Final
,,,,,,,current_vote,UK Independence Party (UKIP),Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,The Brexit Party,,,,,,,,,,,,,,VI-08-08-19-Tables.xlsx,VI_R_Final
,,,,,,,current_vote,Scottish National Party (SNP),Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,The Brexit Party,,,,,,,,,,,,,,VI-08-08-19-Tables.xlsx,VI_R_Final
,,,,,,,current_vote,Plaid Cymru,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,The Brexit Party,,,,,,,,,,,,,,VI-08-08-19-Tables.xlsx,VI_R_Final
,,,,,,,current_vote,Green,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,The Brexit Party,,,,,,,,,,,,,,VI-08-08-19-Tables.xlsx,VI_R_Final
,,,,,,,current_vote,Change UK - The Independent Group,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,The Brexit Party,,,,,,,,,,,,,,VI-08-08-19-Tables.xlsx,VI_R_Final
,,,,,,,current_vote,The Brexit Party,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,The Brexit Party,,,,,,,,,,,,,,VI-08-08-19-Tables.xlsx,VI_R_Final
,,,,,,,current_vote,Some other party,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,The Brexit Party,,,,,,,,,,,,,,VI-08-08-19-Tables.xlsx,VI_R_Final
,,,,,,,historic_vote,Remain,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,The Brexit Party,,,,17.1,38.2,24.9,0.8,6.7,9.5,0.2,,,,VI-08-08-19-Tables.xlsx,VI_R_Final
,,,,,,,historic_vote,Leave,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,The Brexit Party,,,,42.8,18.3,2.8,1.7,1.9,1.0,31.0,,,,VI-08-08-19-Tables.xlsx,VI_R_Final
,,,,,,,historic_vote,2017 Conservative Remainers,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,The Brexit Party,,,,67.3,3.7,23.6,,0.8,3.0,0.9,,,,VI-08-08-19-Tables.xlsx,VI_R_Final
,,,,,,,historic_vote,2017 Conservative Leavers,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,The Brexit Party,,,,65.9,0.8,0.2,0.3,,,32.8,,,,VI-08-08-19-Tables.xlsx,VI_R_Final
,,,,,,,historic_vote,2017 Labour Remainers,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,The Brexit Party,,,,2.2,65.5,17.7,0.2,1.7,10.4,,,,,VI-08-08-19-Tables.xlsx,VI_R_Final
,,,,,,,historic_vote,2017 Labour Leavers,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,The Brexit Party,,,,1.4,63.7,4.8,2.1,,2.0,26.1,,,,VI-08-08-19-Tables.xlsx,VI_R_Final
,,,,,,,gender,Male,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,The Brexit Party,,,,33.1,24.6,14.1,1.0,4.0,1.8,19.3,,,,VI-08-08-19-Tables.xlsx,VI_R_Final
,,,,,,,gender,Female,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,The Brexit Party,,,,27.8,31.8,11.9,1.6,4.4,8.7,12.9,,,,VI-08-08-19-Tables.xlsx,VI_R_Final
,,,,,,,age,18-34,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,The Brexit Party,,,,19.3,40.4,13.1,1.9,5.3,12.8,6.2,,,,VI-08-08-19-Tables.xlsx,VI_R_Final
,,,,,,,age,35-44,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,The Brexit Party,,,,30.7,35.5,12.6,1.1,6.5,2.9,9.4,,,,VI-08-08-19-Tables.xlsx,VI_R_Final
,,,,,,,age,45-54,Q:VI_R_Final. Headline GE voting intention,Conservative,Labour,Liberal Democrat,UK Independence Party (UKIP),Scottish National Party (SNP),Green,The Brexit Party,,,,31.4,27.0,11.3,0.1,2.1,3.8,22.0,,,,VI-08-08-19-Tables.xlsx,VI_R_Final
