Sample,Sample detail,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Category,Sub-category,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
,,,,,,,total,Total,Q:VIHeadlineR. Headling Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,29.2,35.6,8.2,11.5,3.5,5.4,5.6,,,,VI-09-04-2019-Tables.xlsx,VIHeadlineR
,,,,,,,current_vote,Conservative,Q:VIHeadlineR. Headling Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,,,,,,,,,,,VI-09-04-2019-Tables.xlsx,VIHeadlineR
,,,,,,,current_vote,Labour,Q:VIHeadlineR. Headling Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,,,,,,,,,,,VI-09-04-2019-Tables.xlsx,VIHeadlineR
,,,,,,,current_vote,Liberal Democrat,Q:VIHeadlineR. Headling Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,,,,,,,,,,,VI-09-04-2019-Tables.xlsx,VIHeadlineR
,,,,,,,current_vote,UKIP,Q:VIHeadlineR. Headling Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,,,,,,,,,,,VI-09-04-2019-Tables.xlsx,VIHeadlineR
,,,,,,,current_vote,Green,Q:VIHeadlineR. Headling Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,,,,,,,,,,,VI-09-04-2019-Tables.xlsx,VIHeadlineR
,,,,,,,current_vote,SNP,Q:VIHeadlineR. Headling Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,,,,,,,,,,,VI-09-04-2019-Tables.xlsx,VIHeadlineR
,,,,,,,current_vote,Plaid Cymru,Q:VIHeadlineR. Headling Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,,,,,,,,,,,VI-09-04-2019-Tables.xlsx,VIHeadlineR
,,,,,,,current_vote,Some other party,Q:VIHeadlineR. Headling Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,,,,,,,,,,,VI-09-04-2019-Tables.xlsx,VIHeadlineR
,,,,,,,current_vote,Would not vote / Don't know,Q:VIHeadlineR. Headling Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,,,,,,,,,,,VI-09-04-2019-Tables.xlsx,VIHeadlineR
,,,,,,,historic_vote,Remain,Q:VIHeadlineR. Headling Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,17.3,52.1,13.5,1.1,5.1,7.6,1.3,,,,VI-09-04-2019-Tables.xlsx,VIHeadlineR
,,,,,,,historic_vote,Leave,Q:VIHeadlineR. Headling Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,40.2,20.0,3.3,21.7,2.2,2.7,9.8,,,,VI-09-04-2019-Tables.xlsx,VIHeadlineR
,,,,,,,historic_vote,Did not vote,Q:VIHeadlineR. Headling Voting Intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,35.7,35.8,6.0,0.2,,21.9,0.5,,,,VI-09-04-2019-Tables.xlsx,VIHeadlineR
