Sample,Sample detail,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Category,Sub-category,Question detail,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
,,,,,,,total,Total,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,42.7,33.8,6.2,6.8,5.5,1.0,4.1,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,current_vote,Conservative,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,,,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,current_vote,Labour,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,,,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,current_vote,Liberal Democrat,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,,,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,current_vote,SNP,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,,,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,current_vote,Plaid Cymru,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,,,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,current_vote,UKIP,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,,,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,current_vote,Green,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,,,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,current_vote,Reform UK,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,,,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,current_vote,Some other party,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,,,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,historic_vote,Remain,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,21.2,48.9,9.4,11.0,7.1,1.0,1.3,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,historic_vote,Leave,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,67.6,16.7,2.1,2.5,3.3,1.0,6.8,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,historic_vote,2019 Conservative Remainers,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,92.5,3.3,3.2,,0.8,,0.2,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,historic_vote,2019 Conservative Leavers,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,89.1,3.4,0.2,,0.7,0.9,5.6,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,historic_vote,2019 Labour Remainers,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,2.2,79.7,3.2,12.7,0.4,0.2,1.6,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,historic_vote,2019 Labour Leavers,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,4.3,85.8,1.0,8.9,,,,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,historic_vote,2019 Lib Dem Remainers,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,4.5,45.8,40.4,8.2,,,1.0,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,historic_vote,Remain ABC1s,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,18.1,48.4,12.6,12.6,5.8,1.3,1.2,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,historic_vote,Remain C2DEs,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,27.4,49.9,3.1,7.8,9.8,0.3,1.6,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,historic_vote,Leave ABC1s,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,69.6,16.9,2.9,2.2,2.0,0.8,5.5,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,historic_vote,Leave C2DEs,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,64.8,16.4,1.0,2.9,5.0,1.3,8.7,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,gender,Male,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,44.2,29.7,7.8,6.9,5.5,0.7,5.1,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,gender,Female,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,41.1,37.8,4.5,6.7,5.5,1.2,3.1,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,age,18-34,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,28.9,45.9,8.1,9.1,6.2,1.0,0.8,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,age,35-44,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,28.0,48.2,4.0,5.5,5.5,0.4,8.4,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,age,45-54,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,45.1,30.8,3.4,10.0,5.8,0.8,4.2,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,age,55-64,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,43.6,36.0,2.4,6.0,6.0,1.2,4.8,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,age,65+,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,57.4,18.4,10.2,4.3,4.4,1.1,4.1,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,region,North,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,33.6,51.6,4.3,7.3,,,3.2,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,region,Midlands,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,54.0,30.1,3.5,9.1,,,3.4,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,region,London,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,34.2,42.7,7.7,8.1,,,7.4,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,region,South,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,49.0,28.7,9.3,7.5,,,5.5,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,region,Wales,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,54.7,21.5,3.7,2.3,,16.8,1.0,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,region,Scotland,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,30.1,10.4,4.4,1.2,53.2,,0.8,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,region,Northern Ireland,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,Green,SNP,Plaid Cymru,Other,,,,,,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,VIHeadline
,,,,,,,total,Total,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,90.6,9.4,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,V001a
,,,,,,,current_vote,Conservative,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,97.0,3.0,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,V001a
,,,,,,,current_vote,Labour,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,92.0,8.0,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,V001a
,,,,,,,current_vote,Liberal Democrat,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,80.1,19.9,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,V001a
,,,,,,,current_vote,SNP,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,V001a
,,,,,,,current_vote,Plaid Cymru,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,V001a
,,,,,,,current_vote,UKIP,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,88.6,11.4,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,V001a
,,,,,,,current_vote,Green,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,90.7,9.3,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,V001a
,,,,,,,current_vote,Reform UK,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,95.2,4.8,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,V001a
,,,,,,,current_vote,Some other party,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,58.3,41.7,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,V001a
,,,,,,,historic_vote,Remain,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,V001a
,,,,,,,historic_vote,Leave,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,V001a
,,,,,,,historic_vote,2019 Conservative Remainers,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,V001a
,,,,,,,historic_vote,2019 Conservative Leavers,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,V001a
,,,,,,,historic_vote,2019 Labour Remainers,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,V001a
,,,,,,,historic_vote,2019 Labour Leavers,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,V001a
,,,,,,,historic_vote,2019 Lib Dem Remainers,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,V001a
,,,,,,,historic_vote,Remain ABC1s,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,V001a
,,,,,,,historic_vote,Remain C2DEs,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,V001a
,,,,,,,historic_vote,Leave ABC1s,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,V001a
,,,,,,,historic_vote,Leave C2DEs,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,V001a
,,,,,,,gender,Male,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,91.8,8.2,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,V001a
,,,,,,,gender,Female,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,89.5,10.5,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,V001a
,,,,,,,age,18-34,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,78.3,21.7,,,,,,,,,VI-10-06-21-Observer-corrected.xlsx,V001a
