Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
,,,,,,,total,Total,Q:VI_Recode3b. Headling voting intention in constituency (GB),Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Demcorat,SNP,Brexit Party,Green,Other,,,,44.8,33.5,11.7,3.9,2.5,2.2,1.1,,,,VI-10-12-2019-Opinium-Final-Poll-Data-Tables.xlsx,VI_Recode3b
,,,,,,,current_vote,Conservative,Q:VI_Recode3b. Headling voting intention in constituency (GB),Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Demcorat,SNP,Brexit Party,Green,Other,,,,,,,,,,,,,,VI-10-12-2019-Opinium-Final-Poll-Data-Tables.xlsx,VI_Recode3b
,,,,,,,current_vote,Labour,Q:VI_Recode3b. Headling voting intention in constituency (GB),Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Demcorat,SNP,Brexit Party,Green,Other,,,,,,,,,,,,,,VI-10-12-2019-Opinium-Final-Poll-Data-Tables.xlsx,VI_Recode3b
,,,,,,,current_vote,Liberal Democrat,Q:VI_Recode3b. Headling voting intention in constituency (GB),Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Demcorat,SNP,Brexit Party,Green,Other,,,,,,,,,,,,,,VI-10-12-2019-Opinium-Final-Poll-Data-Tables.xlsx,VI_Recode3b
,,,,,,,current_vote,SNP,Q:VI_Recode3b. Headling voting intention in constituency (GB),Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Demcorat,SNP,Brexit Party,Green,Other,,,,,,,,,,,,,,VI-10-12-2019-Opinium-Final-Poll-Data-Tables.xlsx,VI_Recode3b
,,,,,,,current_vote,Plaid Cymru,Q:VI_Recode3b. Headling voting intention in constituency (GB),Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Demcorat,SNP,Brexit Party,Green,Other,,,,,,,,,,,,,,VI-10-12-2019-Opinium-Final-Poll-Data-Tables.xlsx,VI_Recode3b
,,,,,,,current_vote,Brexit Party,Q:VI_Recode3b. Headling voting intention in constituency (GB),Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Demcorat,SNP,Brexit Party,Green,Other,,,,,,,,,,,,,,VI-10-12-2019-Opinium-Final-Poll-Data-Tables.xlsx,VI_Recode3b
,,,,,,,current_vote,Green,Q:VI_Recode3b. Headling voting intention in constituency (GB),Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Demcorat,SNP,Brexit Party,Green,Other,,,,,,,,,,,,,,VI-10-12-2019-Opinium-Final-Poll-Data-Tables.xlsx,VI_Recode3b
,,,,,,,current_vote,UKIP,Q:VI_Recode3b. Headling voting intention in constituency (GB),Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Demcorat,SNP,Brexit Party,Green,Other,,,,,,,,,,,,,,VI-10-12-2019-Opinium-Final-Poll-Data-Tables.xlsx,VI_Recode3b
,,,,,,,current_vote,Other,Q:VI_Recode3b. Headling voting intention in constituency (GB),Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Demcorat,SNP,Brexit Party,Green,Other,,,,,,,,,,,,,,VI-10-12-2019-Opinium-Final-Poll-Data-Tables.xlsx,VI_Recode3b
,,,,,,,historic_vote,Remain,Q:VI_Recode3b. Headling voting intention in constituency (GB),Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Demcorat,SNP,Brexit Party,Green,Other,,,,19.0,51.0,19.6,4.9,0.2,3.5,1.5,,,,VI-10-12-2019-Opinium-Final-Poll-Data-Tables.xlsx,VI_Recode3b
,,,,,,,historic_vote,Leave,Q:VI_Recode3b. Headling voting intention in constituency (GB),Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Demcorat,SNP,Brexit Party,Green,Other,,,,72.8,15.0,2.7,2.5,4.7,1.1,0.9,,,,VI-10-12-2019-Opinium-Final-Poll-Data-Tables.xlsx,VI_Recode3b
,,,,,,,historic_vote,Did not vote,Q:VI_Recode3b. Headling voting intention in constituency (GB),Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Demcorat,SNP,Brexit Party,Green,Other,,,,21.0,46.2,21.9,8.3,1.7,0.5,,,,,VI-10-12-2019-Opinium-Final-Poll-Data-Tables.xlsx,VI_Recode3b
,,,,,,,historic_vote,2017 Conservative Remainers,Q:VI_Recode3b. Headling voting intention in constituency (GB),Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Demcorat,SNP,Brexit Party,Green,Other,,,,68.5,9.3,17.9,0.6,,0.3,3.3,,,,VI-10-12-2019-Opinium-Final-Poll-Data-Tables.xlsx,VI_Recode3b
,,,,,,,historic_vote,2017 Conservative Leavers,Q:VI_Recode3b. Headling voting intention in constituency (GB),Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Demcorat,SNP,Brexit Party,Green,Other,,,,93.5,2.0,1.1,,2.8,0.2,0.4,,,,VI-10-12-2019-Opinium-Final-Poll-Data-Tables.xlsx,VI_Recode3b
,,,,,,,historic_vote,2017 Labour Remainers,Q:VI_Recode3b. Headling voting intention in constituency (GB),Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Demcorat,SNP,Brexit Party,Green,Other,,,,1.4,82.9,9.6,1.1,0.3,3.6,1.0,,,,VI-10-12-2019-Opinium-Final-Poll-Data-Tables.xlsx,VI_Recode3b
,,,,,,,historic_vote,2017 Labour Leavers,Q:VI_Recode3b. Headling voting intention in constituency (GB),Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Demcorat,SNP,Brexit Party,Green,Other,,,,32.4,51.9,5.7,1.2,6.3,1.1,1.4,,,,VI-10-12-2019-Opinium-Final-Poll-Data-Tables.xlsx,VI_Recode3b
,,,,,,,historic_vote,2017 Lib Dem Remainers,Q:VI_Recode3b. Headling voting intention in constituency (GB),Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Demcorat,SNP,Brexit Party,Green,Other,,,,4.2,14.5,73.7,3.6,,3.9,,,,,VI-10-12-2019-Opinium-Final-Poll-Data-Tables.xlsx,VI_Recode3b
,,,,,,,historic_vote,2017 Lib Dem Leavers,Q:VI_Recode3b. Headling voting intention in constituency (GB),Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Demcorat,SNP,Brexit Party,Green,Other,,,,51.0,8.1,18.8,,14.0,8.1,,,,,VI-10-12-2019-Opinium-Final-Poll-Data-Tables.xlsx,VI_Recode3b
