Sample,Sample detail,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Category,Sub-category,Question detail,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
,,,,,,,total,Total,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,44.3,31.1,7.5,1.6,6.5,5.3,1.0,2.7,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,current_vote,Conservative,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,,,,,,,,,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,current_vote,Labour,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,,,,,,,,,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,current_vote,Liberal Democrat,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,,,,,,,,,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,current_vote,SNP,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,,,,,,,,,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,current_vote,Plaid Cymru,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,,,,,,,,,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,current_vote,UKIP,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,,,,,,,,,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,current_vote,Green,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,,,,,,,,,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,current_vote,Reform UK,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,,,,,,,,,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,current_vote,Some other party,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,,,,,,,,,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,historic_vote,Remain,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,22.7,44.1,13.3,0.6,9.1,8.1,1.4,0.7,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,historic_vote,Leave,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,70.4,14.7,2.0,2.2,3.1,1.9,0.6,5.2,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,historic_vote,2019 Conservative Remainers,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,90.0,5.9,1.2,1.1,,1.3,,0.6,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,historic_vote,2019 Conservative Leavers,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,91.6,1.8,0.6,2.0,0.1,,0.9,3.0,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,historic_vote,2019 Labour Remainers,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,4.5,75.9,3.7,,12.6,1.2,1.1,0.9,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,historic_vote,2019 Labour Leavers,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,9.6,77.8,,,8.0,,,4.6,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,historic_vote,2019 Lib Dem Remainers,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,7.3,23.1,59.2,1.3,8.0,1.0,,,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,historic_vote,Remain ABC1s,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,24.4,45.1,13.2,0.7,8.2,5.7,1.8,0.9,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,historic_vote,Remain C2DEs,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,19.3,41.9,13.3,0.3,11.1,13.0,0.6,0.3,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,historic_vote,Leave ABC1s,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,69.4,14.5,2.7,1.8,3.3,1.9,1.1,5.2,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,historic_vote,Leave C2DEs,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,71.8,14.8,1.0,2.6,2.8,1.7,,5.2,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,gender,Male,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,46.6,28.3,9.8,0.9,5.6,5.1,0.7,3.1,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,gender,Female,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,41.9,34.0,5.3,2.3,7.5,5.4,1.3,2.4,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,age,18-34,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,28.8,43.9,7.9,0.9,12.7,4.7,0.8,0.3,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,age,35-44,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,38.3,34.6,10.9,2.5,3.8,6.7,,3.1,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,age,45-54,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,42.4,30.2,6.6,1.4,8.9,6.2,1.8,2.6,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,age,55-64,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,38.3,32.4,8.3,1.6,7.6,6.6,1.7,3.5,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,age,65+,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,61.0,21.4,5.8,1.5,2.1,3.7,0.8,3.7,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,region,North,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,41.5,40.5,8.5,1.0,4.6,,,4.0,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,region,Midlands,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,62.1,25.6,2.8,0.4,7.3,,,1.8,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,region,London,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,31.7,41.5,12.6,2.3,8.7,,,3.1,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,region,South,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,49.3,27.6,9.3,2.9,9.2,,,1.8,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
,,,,,,,region,Wales,Q:VIHeadline. Headling voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,34.8,36.0,5.4,0.3,1.4,,15.9,6.1,,,VI-13-05-21-Observer-Tables-v2.xlsx,VIHeadline
