Sample,Sample detail,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Category,Sub-category,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
,,,,,,,total,Total,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,41.8,38.9,5.3,2.7,3.5,5.3,0.8,1.7,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,current_vote,Conservative,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,,,,,,,,,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,current_vote,Labour,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,,,,,,,,,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,current_vote,Liberal Democrat,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,,,,,,,,,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,current_vote,SNP,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,,,,,,,,,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,current_vote,Plaid Cymru,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,,,,,,,,,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,current_vote,UKIP,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,,,,,,,,,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,current_vote,Green,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,,,,,,,,,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,current_vote,The Brexit Party,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,,,,,,,,,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,current_vote,Some other party,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,,,,,,,,,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,historic_vote,Remain,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,17.0,59.6,9.1,0.2,4.7,8.0,1.0,0.4,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,historic_vote,Leave,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,68.4,18.4,0.7,5.0,1.9,1.7,0.7,3.2,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,historic_vote,2019 Conservative Remainers,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,88.6,8.4,2.2,,,,,0.9,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,historic_vote,2019 Conservative Leavers,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,87.6,4.1,0.0,5.6,,,0.1,2.6,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,historic_vote,2019 Labour Remainers,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,1.3,90.8,,,4.4,2.3,0.9,0.4,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,historic_vote,2019 Labour Leavers,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,2.7,88.0,1.1,1.7,4.0,,,2.5,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,historic_vote,2019 Lib Dem Remainers,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,7.2,44.0,45.9,0.8,2.1,,,,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,gender,Male,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,41.5,38.0,5.5,2.9,4.2,4.9,0.8,2.2,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,gender,Female,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,42.0,39.8,5.2,2.5,2.9,5.6,0.8,1.3,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,age,18-34,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,22.2,57.5,5.5,1.3,7.9,4.6,0.4,0.5,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,age,35-44,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,32.1,45.9,4.6,2.5,3.6,9.7,,1.7,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,age,45-54,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,40.0,40.8,5.1,1.2,3.1,4.6,3.5,1.7,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,age,55-64,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,47.3,35.2,3.4,4.7,2.3,6.2,,0.9,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,age,65+,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,56.1,25.6,6.6,3.5,1.7,3.5,0.1,2.8,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,region,North,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,43.5,52.5,1.2,1.0,1.5,,,0.3,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,region,Midlands,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,52.1,37.8,2.1,0.3,6.0,,,1.7,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,region,London,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,43.0,36.7,12.5,2.6,2.5,,,2.8,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,region,South,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,42.0,36.8,8.9,4.1,5.3,,,2.9,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,region,Wales,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,41.2,40.8,1.7,,3.0,,12.9,0.4,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,region,Scotland,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,21.8,17.7,0.9,6.6,,52.2,,0.7,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,region,Northern Ireland,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Plaid Cymru,Some other party,,,,,,,,,,,,,VI-13-08-2020.xlsx,VIHeadline
,,,,,,,total,Total,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,90.1,9.9,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,current_vote,Conservative,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,current_vote,Labour,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,current_vote,Liberal Democrat,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,current_vote,SNP,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-13-08-2020.xlsx,V001a
,,,,,,,current_vote,Plaid Cymru,"Q:V001a. Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",UNMATCHED,,Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-13-08-2020.xlsx,V001a
