Sample,Sample detail,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Category,Sub-category,Question detail,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
,,,,,,,total,Total,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,,,,,37.0,39.6,7.4,6.6,3.5,4.6,,,,,VI-16-01-19-Tables-For-Website.xlsx,VI_headline_voting_intention
,,,,,,,current_vote,Conservative,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,,,,,,,,,,,,,,,VI-16-01-19-Tables-For-Website.xlsx,VI_headline_voting_intention
,,,,,,,current_vote,Labour,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,,,,,,,,,,,,,,,VI-16-01-19-Tables-For-Website.xlsx,VI_headline_voting_intention
,,,,,,,current_vote,Liberal Democrat,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,,,,,,,,,,,,,,,VI-16-01-19-Tables-For-Website.xlsx,VI_headline_voting_intention
,,,,,,,current_vote,UK Independence Party (UKIP),Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,,,,,,,,,,,,,,,VI-16-01-19-Tables-For-Website.xlsx,VI_headline_voting_intention
,,,,,,,current_vote,Scottish National Party (SNP),Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,,,,,,,,,,,,,,,VI-16-01-19-Tables-For-Website.xlsx,VI_headline_voting_intention
,,,,,,,current_vote,Plaid Cymru,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,,,,,,,,,,,,,,,VI-16-01-19-Tables-For-Website.xlsx,VI_headline_voting_intention
,,,,,,,current_vote,Green,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,,,,,,,,,,,,,,,VI-16-01-19-Tables-For-Website.xlsx,VI_headline_voting_intention
,,,,,,,current_vote,Some other party,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,,,,,,,,,,,,,,,VI-16-01-19-Tables-For-Website.xlsx,VI_headline_voting_intention
,,,,,,,current_vote,Would not vote,Q:VI_headline_voting_intention. Headline voting intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,,,,,,,,,,,,,,,VI-16-01-19-Tables-For-Website.xlsx,VI_headline_voting_intention
