Sample,Sample detail,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Category,Sub-category,Question detail,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
,,,,,,,total,Total,Q:VIHeadlineR. Headling Voting Intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,38.1,34.2,7.8,8.3,2.7,4.9,3.1,,,,VI-2019-03-13.xlsx,VIHeadlineR
,,,,,,,current_vote,Conservative,Q:VIHeadlineR. Headling Voting Intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,,,,,,,,,,,VI-2019-03-13.xlsx,VIHeadlineR
,,,,,,,current_vote,Labour,Q:VIHeadlineR. Headling Voting Intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,,,,,,,,,,,VI-2019-03-13.xlsx,VIHeadlineR
,,,,,,,current_vote,Liberal Democrat,Q:VIHeadlineR. Headling Voting Intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,,,,,,,,,,,VI-2019-03-13.xlsx,VIHeadlineR
,,,,,,,current_vote,UKIP,Q:VIHeadlineR. Headling Voting Intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,,,,,,,,,,,VI-2019-03-13.xlsx,VIHeadlineR
,,,,,,,current_vote,Green,Q:VIHeadlineR. Headling Voting Intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,,,,,,,,,,,VI-2019-03-13.xlsx,VIHeadlineR
,,,,,,,current_vote,SNP,Q:VIHeadlineR. Headling Voting Intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,,,,,,,,,,,VI-2019-03-13.xlsx,VIHeadlineR
,,,,,,,current_vote,Plaid Cymru,Q:VIHeadlineR. Headling Voting Intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,,,,,,,,,,,VI-2019-03-13.xlsx,VIHeadlineR
,,,,,,,current_vote,Some other party,Q:VIHeadlineR. Headling Voting Intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,,,,,,,,,,,VI-2019-03-13.xlsx,VIHeadlineR
,,,,,,,current_vote,Would not vote / Don't know,Q:VIHeadlineR. Headling Voting Intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,,,,,,,,,,,VI-2019-03-13.xlsx,VIHeadlineR
,,,,,,,historic_vote,Remain,Q:VIHeadlineR. Headling Voting Intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,24.2,48.6,14.4,0.3,3.5,6.6,1.7,,,,VI-2019-03-13.xlsx,VIHeadlineR
,,,,,,,historic_vote,Leave,Q:VIHeadlineR. Headling Voting Intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,52.4,20.1,1.6,16.0,1.7,2.5,4.7,,,,VI-2019-03-13.xlsx,VIHeadlineR
,,,,,,,historic_vote,Did not vote,Q:VIHeadlineR. Headling Voting Intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,22.1,36.7,3.8,10.9,7.4,19.1,,,,,VI-2019-03-13.xlsx,VIHeadlineR
,,,,,,,historic_vote,2017 Conservative Remainers,Q:VIHeadlineR. Headling Voting Intention,Conservative,Labour,Liberal Democrat,UKIP,Green,SNP,Other,,,,92.6,4.0,2.1,,0.6,,0.8,,,,VI-2019-03-13.xlsx,VIHeadlineR
