Sample,Sample detail,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Category,Sub-category,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
,,,,,,,total,Total,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,Green,Plaid Cymru,Other,,,,,31.8,39.1,11.4,5.5,0.8,6.6,,,,,VI-2021-12-21-Observer-Tables-FINAL.xlsx,VIHeadline
,,,,,,,current_vote,Conservative,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,Green,Plaid Cymru,Other,,,,,,,,,,,,,,,VI-2021-12-21-Observer-Tables-FINAL.xlsx,VIHeadline
,,,,,,,current_vote,Labour,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,Green,Plaid Cymru,Other,,,,,,,,,,,,,,,VI-2021-12-21-Observer-Tables-FINAL.xlsx,VIHeadline
,,,,,,,current_vote,Liberal Democrat,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,Green,Plaid Cymru,Other,,,,,,,,,,,,,,,VI-2021-12-21-Observer-Tables-FINAL.xlsx,VIHeadline
,,,,,,,current_vote,SNP,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,Green,Plaid Cymru,Other,,,,,,,,,,,,,,,VI-2021-12-21-Observer-Tables-FINAL.xlsx,VIHeadline
,,,,,,,current_vote,Plaid Cymru,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,Green,Plaid Cymru,Other,,,,,,,,,,,,,,,VI-2021-12-21-Observer-Tables-FINAL.xlsx,VIHeadline
,,,,,,,current_vote,UKIP,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,Green,Plaid Cymru,Other,,,,,,,,,,,,,,,VI-2021-12-21-Observer-Tables-FINAL.xlsx,VIHeadline
,,,,,,,current_vote,Green,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,Green,Plaid Cymru,Other,,,,,,,,,,,,,,,VI-2021-12-21-Observer-Tables-FINAL.xlsx,VIHeadline
,,,,,,,current_vote,Reform UK,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,Green,Plaid Cymru,Other,,,,,,,,,,,,,,,VI-2021-12-21-Observer-Tables-FINAL.xlsx,VIHeadline
,,,,,,,current_vote,Some other party,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,Green,Plaid Cymru,Other,,,,,,,,,,,,,,,VI-2021-12-21-Observer-Tables-FINAL.xlsx,VIHeadline
,,,,,,,historic_vote,Remain,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,Green,Plaid Cymru,Other,,,,,16.5,50.4,17.2,7.3,0.9,0.9,,,,,VI-2021-12-21-Observer-Tables-FINAL.xlsx,VIHeadline
,,,,,,,historic_vote,Leave,Q:VIHeadline. Headling voting intention,Voting intention (Westminster),voting intention,Conservative,Labour,Liberal Democrat,Green,Plaid Cymru,Other,,,,,51.6,24.1,5.2,2.6,0.6,13.4,,,,,VI-2021-12-21-Observer-Tables-FINAL.xlsx,VIHeadline
