Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
,,,,,,,total,Total,"Q:CL2. Do you think each of the following have gone up or down over the past 12 months, or have you not noticed any difference either way?
 CL2.A.5. National Insurance",UNMATCHED,,Gone up a lot,Gone up a little,Not noticed any difference either way,Gone down a little,,,,,,,21.0,37.4,33.3,0.6,,,,,,,VI-2022-03-09-Tables-Observer.xlsx,CL2 (5)
,,,,,,,current_vote,Con,"Q:CL2. Do you think each of the following have gone up or down over the past 12 months, or have you not noticed any difference either way?
 CL2.A.5. National Insurance",UNMATCHED,,Gone up a lot,Gone up a little,Not noticed any difference either way,Gone down a little,,,,,,,21.2,38.1,34.7,0.9,,,,,,,VI-2022-03-09-Tables-Observer.xlsx,CL2 (5)
,,,,,,,current_vote,Lab,"Q:CL2. Do you think each of the following have gone up or down over the past 12 months, or have you not noticed any difference either way?
 CL2.A.5. National Insurance",UNMATCHED,,Gone up a lot,Gone up a little,Not noticed any difference either way,Gone down a little,,,,,,,16.5,43.1,35.9,,,,,,,,VI-2022-03-09-Tables-Observer.xlsx,CL2 (5)
,,,,,,,current_vote,Lib Dem,"Q:CL2. Do you think each of the following have gone up or down over the past 12 months, or have you not noticed any difference either way?
 CL2.A.5. National Insurance",UNMATCHED,,Gone up a lot,Gone up a little,Not noticed any difference either way,Gone down a little,,,,,,,21.8,39.6,29.9,1.0,,,,,,,VI-2022-03-09-Tables-Observer.xlsx,CL2 (5)
,,,,,,,current_vote,SNP,"Q:CL2. Do you think each of the following have gone up or down over the past 12 months, or have you not noticed any difference either way?
 CL2.A.5. National Insurance",UNMATCHED,,Gone up a lot,Gone up a little,Not noticed any difference either way,Gone down a little,,,,,,,19.3,32.9,42.2,,,,,,,,VI-2022-03-09-Tables-Observer.xlsx,CL2 (5)
,,,,,,,current_vote,Plaid,"Q:CL2. Do you think each of the following have gone up or down over the past 12 months, or have you not noticed any difference either way?
 CL2.A.5. National Insurance",UNMATCHED,,Gone up a lot,Gone up a little,Not noticed any difference either way,Gone down a little,,,,,,,52.8,12.6,34.6,,,,,,,,VI-2022-03-09-Tables-Observer.xlsx,CL2 (5)
,,,,,,,current_vote,Green,"Q:CL2. Do you think each of the following have gone up or down over the past 12 months, or have you not noticed any difference either way?
 CL2.A.5. National Insurance",UNMATCHED,,Gone up a lot,Gone up a little,Not noticed any difference either way,Gone down a little,,,,,,,26.5,38.7,24.0,2.8,,,,,,,VI-2022-03-09-Tables-Observer.xlsx,CL2 (5)
,,,,,,,current_vote,Other,"Q:CL2. Do you think each of the following have gone up or down over the past 12 months, or have you not noticed any difference either way?
 CL2.A.5. National Insurance",UNMATCHED,,Gone up a lot,Gone up a little,Not noticed any difference either way,Gone down a little,,,,,,,25.0,25.7,42.0,4.2,,,,,,,VI-2022-03-09-Tables-Observer.xlsx,CL2 (5)
,,,,,,,historic_vote,Con,"Q:CL2. Do you think each of the following have gone up or down over the past 12 months, or have you not noticed any difference either way?
 CL2.A.5. National Insurance",UNMATCHED,,Gone up a lot,Gone up a little,Not noticed any difference either way,Gone down a little,,,,,,,22.9,37.3,33.6,0.7,,,,,,,VI-2022-03-09-Tables-Observer.xlsx,CL2 (5)
,,,,,,,historic_vote,Lab,"Q:CL2. Do you think each of the following have gone up or down over the past 12 months, or have you not noticed any difference either way?
 CL2.A.5. National Insurance",UNMATCHED,,Gone up a lot,Gone up a little,Not noticed any difference either way,Gone down a little,,,,,,,17.2,42.3,36.5,,,,,,,,VI-2022-03-09-Tables-Observer.xlsx,CL2 (5)
