Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
"2,052 UK Adults",9th - 11th July 2025,,,,1776,,total,Total,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Reform UK,Some other party / an independent candidate,,,,15.0,19.6,10.2,7.2,2.1,23.5,2.6,,,,VI-2025-07-09-Observer-Tables-1275.xlsx,V003
"2,052 UK Adults",9th - 11th July 2025,,,,1776,,current_vote,Con,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,VI-2025-07-09-Observer-Tables-1275.xlsx,V003
"2,052 UK Adults",9th - 11th July 2025,,,,1776,,current_vote,Lab,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,VI-2025-07-09-Observer-Tables-1275.xlsx,V003
"2,052 UK Adults",9th - 11th July 2025,,,,1776,,current_vote,Lib Dem,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,VI-2025-07-09-Observer-Tables-1275.xlsx,V003
"2,052 UK Adults",9th - 11th July 2025,,,,1776,,current_vote,Reform,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,VI-2025-07-09-Observer-Tables-1275.xlsx,V003
"2,052 UK Adults",9th - 11th July 2025,,,,1776,,current_vote,Green,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,VI-2025-07-09-Observer-Tables-1275.xlsx,V003
"2,052 UK Adults",9th - 11th July 2025,,,,1776,,historic_vote,Con,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Reform UK,Some other party / an independent candidate,,,,61.0,2.0,0.8,1.8,,23.5,0.4,,,,VI-2025-07-09-Observer-Tables-1275.xlsx,V003
"2,052 UK Adults",9th - 11th July 2025,,,,1776,,historic_vote,Lab,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Reform UK,Some other party / an independent candidate,,,,3.3,55.0,7.3,5.5,1.0,11.0,1.9,,,,VI-2025-07-09-Observer-Tables-1275.xlsx,V003
"2,052 UK Adults",9th - 11th July 2025,,,,1776,,historic_vote,Lib Dems,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Reform UK,Some other party / an independent candidate,,,,0.6,2.4,67.5,3.6,0.6,8.2,,,,,VI-2025-07-09-Observer-Tables-1275.xlsx,V003
"2,052 UK Adults",9th - 11th July 2025,,,,1776,,historic_vote,Reform UK ,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Reform UK,Some other party / an independent candidate,,,,4.7,0.3,1.1,0.3,0.4,85.5,2.1,,,,VI-2025-07-09-Observer-Tables-1275.xlsx,V003
