Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
"2,050 UK Adults",8th-10th October,,,,1797,,total,Total,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,14.4,18.2,8.9,8.5,25.9,2.4,,,,,VI-2025-10-08-Data-Tables-1820.xlsx,V003
"2,050 UK Adults",8th-10th October,,,,1797,,current_vote,Con,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2025-10-08-Data-Tables-1820.xlsx,V003
"2,050 UK Adults",8th-10th October,,,,1797,,current_vote,Lab,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,100.0,,,,,,,,,VI-2025-10-08-Data-Tables-1820.xlsx,V003
"2,050 UK Adults",8th-10th October,,,,1797,,current_vote,Lib Dem,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2025-10-08-Data-Tables-1820.xlsx,V003
"2,050 UK Adults",8th-10th October,,,,1797,,current_vote,Reform,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2025-10-08-Data-Tables-1820.xlsx,V003
"2,050 UK Adults",8th-10th October,,,,1797,,current_vote,Green,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2025-10-08-Data-Tables-1820.xlsx,V003
"2,050 UK Adults",8th-10th October,,,,1797,,historic_vote,Con,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,54.3,3.3,0.8,,28.2,0.5,,,,,VI-2025-10-08-Data-Tables-1820.xlsx,V003
"2,050 UK Adults",8th-10th October,,,,1797,,historic_vote,Lab,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,4.2,53.5,4.9,7.2,12.0,2.7,,,,,VI-2025-10-08-Data-Tables-1820.xlsx,V003
"2,050 UK Adults",8th-10th October,,,,1797,,historic_vote,Lib Dems,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,4.4,4.6,66.7,4.9,5.1,0.5,,,,,VI-2025-10-08-Data-Tables-1820.xlsx,V003
"2,050 UK Adults",8th-10th October,,,,1797,,historic_vote,Reform UK ,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,4.4,1.6,,1.0,83.7,2.1,,,,,VI-2025-10-08-Data-Tables-1820.xlsx,V003
"2,050 UK Adults",8th-10th October,,,,1797,,historic_vote,Green ,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,0.8,1.1,71.2,9.0,2.7,,,,,VI-2025-10-08-Data-Tables-1820.xlsx,V003
"2,050 UK Adults",8th-10th October,,,,1797,,historic_vote,Con,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,33.5,5.5,3.9,1.5,39.0,1.4,,,,,VI-2025-10-08-Data-Tables-1820.xlsx,V003
"2,050 UK Adults",8th-10th October,,,,1797,,historic_vote,Lab,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,1.5,50.5,5.4,9.9,13.5,4.1,,,,,VI-2025-10-08-Data-Tables-1820.xlsx,V003
"2,050 UK Adults",8th-10th October,,,,1797,,historic_vote,Lib Dem,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,6.6,7.2,61.1,5.2,6.1,0.7,,,,,VI-2025-10-08-Data-Tables-1820.xlsx,V003
"2,050 UK Adults",8th-10th October,,,,1797,,historic_vote,Remain,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,14.7,29.1,13.3,8.6,10.3,1.9,,,,,VI-2025-10-08-Data-Tables-1820.xlsx,V003
"2,050 UK Adults",8th-10th October,,,,1797,,historic_vote,Leave,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,16.7,7.3,6.7,5.0,45.0,2.0,,,,,VI-2025-10-08-Data-Tables-1820.xlsx,V003
"2,050 UK Adults",8th-10th October,,,,1797,,gender,Male,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,14.5,19.5,10.6,8.2,30.9,2.2,,,,,VI-2025-10-08-Data-Tables-1820.xlsx,V003
