Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
"2,050 UK Adults",5-7 November 2025,,,,1753,,total,Total,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,14.2,16.5,10.0,9.0,26.9,2.3,,,,,VI-2025-11-05-Observer-Data-Tables-1803 (1).xlsx,V003
"2,050 UK Adults",5-7 November 2025,,,,1753,,current_vote,Con,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2025-11-05-Observer-Data-Tables-1803 (1).xlsx,V003
"2,050 UK Adults",5-7 November 2025,,,,1753,,current_vote,Lab,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2025-11-05-Observer-Data-Tables-1803 (1).xlsx,V003
"2,050 UK Adults",5-7 November 2025,,,,1753,,current_vote,Lib Dem,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2025-11-05-Observer-Data-Tables-1803 (1).xlsx,V003
"2,050 UK Adults",5-7 November 2025,,,,1753,,current_vote,Reform,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2025-11-05-Observer-Data-Tables-1803 (1).xlsx,V003
"2,050 UK Adults",5-7 November 2025,,,,1753,,current_vote,Green,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2025-11-05-Observer-Data-Tables-1803 (1).xlsx,V003
"2,050 UK Adults",5-7 November 2025,,,,1753,,historic_vote,Con,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,52.3,3.3,0.8,1.1,29.8,0.3,,,,,VI-2025-11-05-Observer-Data-Tables-1803 (1).xlsx,V003
"2,050 UK Adults",5-7 November 2025,,,,1753,,historic_vote,Lab,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,3.9,46.5,7.7,9.3,12.4,2.3,,,,,VI-2025-11-05-Observer-Data-Tables-1803 (1).xlsx,V003
"2,050 UK Adults",5-7 November 2025,,,,1753,,historic_vote,Lib Dems,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,1.6,5.6,66.6,3.0,7.8,1.3,,,,,VI-2025-11-05-Observer-Data-Tables-1803 (1).xlsx,V003
"2,050 UK Adults",5-7 November 2025,,,,1753,,historic_vote,Reform UK ,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,2.8,1.2,,0.7,87.3,1.0,,,,,VI-2025-11-05-Observer-Data-Tables-1803 (1).xlsx,V003
