Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
"2,051 UK adults",29th April - 1st May 2026,,,,1780,,total,Total,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,15.6,16.3,10.1,12.9,23.3,3.7,,,,,VI-2026-04-29-Observer-Tables (1).xlsx,V003
"2,051 UK adults",29th April - 1st May 2026,,,,1780,,current_vote,Con,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2026-04-29-Observer-Tables (1).xlsx,V003
"2,051 UK adults",29th April - 1st May 2026,,,,1780,,current_vote,Lab,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2026-04-29-Observer-Tables (1).xlsx,V003
"2,051 UK adults",29th April - 1st May 2026,,,,1780,,current_vote,Lib Dem,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2026-04-29-Observer-Tables (1).xlsx,V003
"2,051 UK adults",29th April - 1st May 2026,,,,1780,,current_vote,Reform,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2026-04-29-Observer-Tables (1).xlsx,V003
"2,051 UK adults",29th April - 1st May 2026,,,,1780,,current_vote,Green,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,100.0,,,,,,,VI-2026-04-29-Observer-Tables (1).xlsx,V003
"2,051 UK adults",29th April - 1st May 2026,,,,1780,,historic_vote,Conservative,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,61.5,1.9,1.0,1.2,24.3,1.8,,,,,VI-2026-04-29-Observer-Tables (1).xlsx,V003
"2,051 UK adults",29th April - 1st May 2026,,,,1780,,historic_vote,Labour,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,4.4,45.4,6.3,15.1,10.2,3.1,,,,,VI-2026-04-29-Observer-Tables (1).xlsx,V003
"2,051 UK adults",29th April - 1st May 2026,,,,1780,,historic_vote,Lib Dems,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,1.7,3.3,67.5,5.5,4.3,1.1,,,,,VI-2026-04-29-Observer-Tables (1).xlsx,V003
"2,051 UK adults",29th April - 1st May 2026,,,,1780,,historic_vote,Reform UK,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,3.8,3.0,0.3,1.3,76.5,8.3,,,,,VI-2026-04-29-Observer-Tables (1).xlsx,V003
"2,051 UK adults",29th April - 1st May 2026,,,,1780,,historic_vote,Green,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,2.0,4.7,76.2,9.6,0.8,,,,,VI-2026-04-29-Observer-Tables (1).xlsx,V003
"2,051 UK adults",29th April - 1st May 2026,,,,1780,,historic_vote,Con,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,38.0,3.8,5.8,2.8,34.7,3.0,,,,,VI-2026-04-29-Observer-Tables (1).xlsx,V003
"2,051 UK adults",29th April - 1st May 2026,,,,1780,,historic_vote,Lab,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,2.6,42.9,5.1,21.1,9.7,4.8,,,,,VI-2026-04-29-Observer-Tables (1).xlsx,V003
"2,051 UK adults",29th April - 1st May 2026,,,,1780,,historic_vote,Lib Dem,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,3.5,11.4,66.7,6.1,4.3,1.0,,,,,VI-2026-04-29-Observer-Tables (1).xlsx,V003
"2,051 UK adults",29th April - 1st May 2026,,,,1780,,historic_vote,Remain,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,15.6,22.8,16.8,14.6,8.9,2.4,,,,,VI-2026-04-29-Observer-Tables (1).xlsx,V003
"2,051 UK adults",29th April - 1st May 2026,,,,1780,,historic_vote,Leave,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,19.1,9.3,5.8,6.3,38.9,4.9,,,,,VI-2026-04-29-Observer-Tables (1).xlsx,V003
"2,051 UK adults",29th April - 1st May 2026,,,,1780,,gender,Male,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,15.2,19.0,10.9,10.8,26.7,4.0,,,,,VI-2026-04-29-Observer-Tables (1).xlsx,V003
"2,051 UK adults",29th April - 1st May 2026,,,,1780,,gender,Female,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,16.2,13.7,9.2,14.8,20.0,3.5,,,,,VI-2026-04-29-Observer-Tables (1).xlsx,V003
"2,051 UK adults",29th April - 1st May 2026,,,,1780,,age,18-34,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,10.7,23.1,7.2,19.3,21.9,4.1,,,,,VI-2026-04-29-Observer-Tables (1).xlsx,V003
"2,051 UK adults",29th April - 1st May 2026,,,,1780,,age,35-49,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,11.9,18.5,7.9,16.0,23.1,4.2,,,,,VI-2026-04-29-Observer-Tables (1).xlsx,V003
"2,051 UK adults",29th April - 1st May 2026,,,,1780,,age,50-64,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,16.2,13.1,12.4,11.1,22.4,3.4,,,,,VI-2026-04-29-Observer-Tables (1).xlsx,V003
"2,051 UK adults",29th April - 1st May 2026,,,,1780,,age,65+,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,24.2,10.1,12.9,4.8,25.8,3.0,,,,,VI-2026-04-29-Observer-Tables (1).xlsx,V003
"2,051 UK adults",29th April - 1st May 2026,,,,1780,,region,North,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,14.8,20.7,7.7,15.6,22.5,6.1,,,,,VI-2026-04-29-Observer-Tables (1).xlsx,V003
"2,051 UK adults",29th April - 1st May 2026,,,,1780,,region,Mids,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,14.4,15.4,6.9,14.0,33.1,3.3,,,,,VI-2026-04-29-Observer-Tables (1).xlsx,V003
"2,051 UK adults",29th April - 1st May 2026,,,,1780,,region,London,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,15.0,25.3,10.8,13.0,19.1,3.3,,,,,VI-2026-04-29-Observer-Tables (1).xlsx,V003
