Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
"2,050 UK adults",29th - 31st July 2026,,,,1786,,total,Total,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,14.8,22.6,10.0,10.1,2.6,0.8,19.9,4.2,,,VI-2026-07-29-Opinium-Observer-Web-Data-Tables-1928.xlsx,V003
"2,050 UK adults",29th - 31st July 2026,,,,1786,,current_vote,Con,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,VI-2026-07-29-Opinium-Observer-Web-Data-Tables-1928.xlsx,V003
"2,050 UK adults",29th - 31st July 2026,,,,1786,,current_vote,Lab,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,,100.0,,,,,,,,,VI-2026-07-29-Opinium-Observer-Web-Data-Tables-1928.xlsx,V003
"2,050 UK adults",29th - 31st July 2026,,,,1786,,current_vote,Lib Dem,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,VI-2026-07-29-Opinium-Observer-Web-Data-Tables-1928.xlsx,V003
"2,050 UK adults",29th - 31st July 2026,,,,1786,,current_vote,Reform,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,VI-2026-07-29-Opinium-Observer-Web-Data-Tables-1928.xlsx,V003
"2,050 UK adults",29th - 31st July 2026,,,,1786,,current_vote,Green,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,VI-2026-07-29-Opinium-Observer-Web-Data-Tables-1928.xlsx,V003
"2,050 UK adults",29th - 31st July 2026,,,,1786,,historic_vote,Conservative,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,60.2,2.1,2.2,0.3,,,20.7,4.4,,,VI-2026-07-29-Opinium-Observer-Web-Data-Tables-1928.xlsx,V003
"2,050 UK adults",29th - 31st July 2026,,,,1786,,historic_vote,Labour,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,3.7,58.5,4.7,11.1,0.9,0.6,8.9,2.0,,,VI-2026-07-29-Opinium-Observer-Web-Data-Tables-1928.xlsx,V003
"2,050 UK adults",29th - 31st July 2026,,,,1786,,historic_vote,Lib Dems,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,3.3,6.2,69.4,5.4,0.8,,3.3,,,,VI-2026-07-29-Opinium-Observer-Web-Data-Tables-1928.xlsx,V003
"2,050 UK adults",29th - 31st July 2026,,,,1786,,historic_vote,Green,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Scottish National Party (SNP),Plaid Cymru,Reform UK,Some other party / an independent candidate,,,2.1,12.7,4.8,64.8,,,4.5,3.1,,,VI-2026-07-29-Opinium-Observer-Web-Data-Tables-1928.xlsx,V003
