Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
"2,050 UK Adults",2nd - 4th September 2026,,,,1817,,total,Total,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,15.2,23.6,9.1,9.4,19.7,3.6,,,,,VI-2026-09-02-Opinium-Observer-Web-Tables-1915.xlsx,V003
"2,050 UK Adults",2nd - 4th September 2026,,,,1817,,current_vote,Con,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2026-09-02-Opinium-Observer-Web-Tables-1915.xlsx,V003
"2,050 UK Adults",2nd - 4th September 2026,,,,1817,,current_vote,Lab,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2026-09-02-Opinium-Observer-Web-Tables-1915.xlsx,V003
"2,050 UK Adults",2nd - 4th September 2026,,,,1817,,current_vote,Lib Dem,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2026-09-02-Opinium-Observer-Web-Tables-1915.xlsx,V003
"2,050 UK Adults",2nd - 4th September 2026,,,,1817,,current_vote,Reform,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2026-09-02-Opinium-Observer-Web-Tables-1915.xlsx,V003
"2,050 UK Adults",2nd - 4th September 2026,,,,1817,,current_vote,Green,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,VI-2026-09-02-Opinium-Observer-Web-Tables-1915.xlsx,V003
"2,050 UK Adults",2nd - 4th September 2026,,,,1817,,historic_vote,Conservative,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,59.9,3.2,0.3,0.9,21.4,4.5,,,,,VI-2026-09-02-Opinium-Observer-Web-Tables-1915.xlsx,V003
"2,050 UK Adults",2nd - 4th September 2026,,,,1817,,historic_vote,Labour,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,3.3,63.7,4.6,8.9,6.5,1.9,,,,,VI-2026-09-02-Opinium-Observer-Web-Tables-1915.xlsx,V003
"2,050 UK Adults",2nd - 4th September 2026,,,,1817,,historic_vote,Lib Dems,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,2.8,5.4,62.2,4.7,5.5,1.1,,,,,VI-2026-09-02-Opinium-Observer-Web-Tables-1915.xlsx,V003
"2,050 UK Adults",2nd - 4th September 2026,,,,1817,,historic_vote,Green,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,5.1,5.6,1.9,63.1,9.7,3.2,,,,,VI-2026-09-02-Opinium-Observer-Web-Tables-1915.xlsx,V003
"2,050 UK Adults",2nd - 4th September 2026,,,,1817,,historic_vote,Reform UK,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,4.9,1.1,,1.7,78.9,7.3,,,,,VI-2026-09-02-Opinium-Observer-Web-Tables-1915.xlsx,V003
"2,050 UK Adults",2nd - 4th September 2026,,,,1817,,historic_vote,Con,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,37.7,5.1,3.5,2.2,32.0,4.8,,,,,VI-2026-09-02-Opinium-Observer-Web-Tables-1915.xlsx,V003
