Sample,Sample detail,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Category,Sub-category,Question detail,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
,,,,,,,current_vote,Conservative,"Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V001a_
,,,,,,,current_vote,Labour,"Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V001a_
,,,,,,,current_vote,Liberal Democrat,"Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V001a_
,,,,,,,current_vote,SNP,"Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V001a_
,,,,,,,current_vote,Plaid Cymru,"Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V001a_
,,,,,,,current_vote,Green,"Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V001a_
,,,,,,,current_vote,Other,"Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V001a_
,,,,,,,historic_vote,Remain,"Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V001a_
,,,,,,,historic_vote,Leave,"Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,,,,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V001a_
,,,,,,,age,18-34,"Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,77.3,22.7,,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V001a_
,,,,,,,age,35-44,"Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,89.1,10.9,,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V001a_
,,,,,,,age,45-54,"Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,92.0,8.0,,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V001a_
,,,,,,,age,55-64,"Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,95.8,4.2,,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V001a_
,,,,,,,age,65+,"Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,98.5,1.5,,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V001a_
,,,,,,,gender,Male,"Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,90.7,9.3,,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V001a_
,,,,,,,gender,Female,"Over 4 million people are  not  registered to vote at all in the UK. As far as you know, is your name on the electoral register, that is, the official list of people entitled to vote?",Yes – I am on the electoral register,No – I am not on the electoral register,,,,,,,,,88.5,11.5,,,,,,,,,VI-Tables-extra-poll-06.11.21.xlsx,V001a_
