Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
"2,050 UK adults",12 - 14 August 2026,,,,1798,,total,Total,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,15.0,23.5,8.7,9.3,21.5,4.3,,,,,Vi-2026-08-12-Opinium-Observer-Web-Data-tables-1707.xlsx,V003
"2,050 UK adults",12 - 14 August 2026,,,,1798,,current_vote,Con,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,Vi-2026-08-12-Opinium-Observer-Web-Data-tables-1707.xlsx,V003
"2,050 UK adults",12 - 14 August 2026,,,,1798,,current_vote,Lab,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,Vi-2026-08-12-Opinium-Observer-Web-Data-tables-1707.xlsx,V003
"2,050 UK adults",12 - 14 August 2026,,,,1798,,current_vote,Lib Dem,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,Vi-2026-08-12-Opinium-Observer-Web-Data-tables-1707.xlsx,V003
"2,050 UK adults",12 - 14 August 2026,,,,1798,,current_vote,Reform,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,Vi-2026-08-12-Opinium-Observer-Web-Data-tables-1707.xlsx,V003
"2,050 UK adults",12 - 14 August 2026,,,,1798,,current_vote,Green,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,,,,,,,,,,,Vi-2026-08-12-Opinium-Observer-Web-Data-tables-1707.xlsx,V003
"2,050 UK adults",12 - 14 August 2026,,,,1798,,historic_vote,Conservative,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,61.8,2.7,0.6,0.3,21.8,2.9,,,,,Vi-2026-08-12-Opinium-Observer-Web-Data-tables-1707.xlsx,V003
"2,050 UK adults",12 - 14 August 2026,,,,1798,,historic_vote,Labour,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,2.3,63.3,3.8,8.6,7.6,2.8,,,,,Vi-2026-08-12-Opinium-Observer-Web-Data-tables-1707.xlsx,V003
"2,050 UK adults",12 - 14 August 2026,,,,1798,,historic_vote,Lib Dems,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,2.3,12.8,61.2,4.9,7.5,2.2,,,,,Vi-2026-08-12-Opinium-Observer-Web-Data-tables-1707.xlsx,V003
"2,050 UK adults",12 - 14 August 2026,,,,1798,,historic_vote,Green,"Q:V003. If there were a general election tomorrow, for which party would you vote?",Voting intention (Westminster),general election tomorrow,Conservative,Labour,Liberal Democrat,Green,Reform UK,Some other party / an independent candidate,,,,,1.8,10.8,3.4,62.4,5.9,4.3,,,,,Vi-2026-08-12-Opinium-Observer-Web-Data-tables-1707.xlsx,V003
