Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
GB Adults,28 - 31 August 2026,,,,,,total,All,,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,12.9,2.6,2.0,0.9,0.7,5.5,3.9,5.5,8.6,8.0,Voting-Intention-31.08.xlsx,likelihoodtovote
GB Adults,28 - 31 August 2026,,,,,,gender,Male,,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,10.0,2.0,1.2,0.4,0.3,5.4,3.1,5.8,8.8,10.6,Voting-Intention-31.08.xlsx,likelihoodtovote
GB Adults,28 - 31 August 2026,,,,,,gender,Female,,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,15.6,3.1,2.8,1.3,1.1,5.5,4.5,5.3,8.4,5.7,Voting-Intention-31.08.xlsx,likelihoodtovote
GB Adults,28 - 31 August 2026,,,,,,age,18-24,,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,7.0,3.7,4.7,1.8,0.6,5.6,11.0,13.5,9.1,6.2,Voting-Intention-31.08.xlsx,likelihoodtovote
GB Adults,28 - 31 August 2026,,,,,,age,25-34,,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,14.3,1.0,1.3,1.5,1.1,5.7,4.0,7.2,11.7,8.7,Voting-Intention-31.08.xlsx,likelihoodtovote
GB Adults,28 - 31 August 2026,,,,,,age,35-44,,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,17.1,3.6,2.2,0.8,1.3,8.2,4.7,7.6,9.3,6.7,Voting-Intention-31.08.xlsx,likelihoodtovote
GB Adults,28 - 31 August 2026,,,,,,age,45-54,,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,17.8,3.2,3.0,0.8,0.4,6.0,5.1,5.2,8.5,6.5,Voting-Intention-31.08.xlsx,likelihoodtovote
GB Adults,28 - 31 August 2026,,,,,,age,55-64,,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,12.0,3.1,1.4,0.3,0.9,6.0,1.9,2.9,8.6,8.3,Voting-Intention-31.08.xlsx,likelihoodtovote
GB Adults,28 - 31 August 2026,,,,,,age,65-74,,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,7.2,0.9,1.6,0.5,,2.9,1.5,2.3,4.3,8.8,Voting-Intention-31.08.xlsx,likelihoodtovote
GB Adults,28 - 31 August 2026,,,,,,age,75+,,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,10.4,2.6,0.6,0.5,,2.1,,1.3,7.5,11.7,Voting-Intention-31.08.xlsx,likelihoodtovote
