Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
"1,521 GB Adults",29th-30th April 2026,,,,,,total,Total,"BMG_LHV_1: On a scale of 0 to 10, where 0 means you definitely won't vote and 10 means you definitely will vote, how likely would you be to vote at a General Election if it was held today?",UNMATCHED,,10 - Definitely vote,9,8,7,6,5,4,3,2,1,52.2,7.2,8.1,4.6,2.0,7.2,1.7,2.1,2.6,1.5,april-2026-omnibus-tables-for-the-i.xlsx,Tables
"1,521 GB Adults",29th-30th April 2026,,,,,,gender,Male,"BMG_LHV_1: On a scale of 0 to 10, where 0 means you definitely won't vote and 10 means you definitely will vote, how likely would you be to vote at a General Election if it was held today?",UNMATCHED,,10 - Definitely vote,9,8,7,6,5,4,3,2,1,54.0,8.7,10.0,4.7,2.6,6.3,2.0,1.0,1.3,1.2,april-2026-omnibus-tables-for-the-i.xlsx,Tables
"1,521 GB Adults",29th-30th April 2026,,,,,,gender,Female,"BMG_LHV_1: On a scale of 0 to 10, where 0 means you definitely won't vote and 10 means you definitely will vote, how likely would you be to vote at a General Election if it was held today?",UNMATCHED,,10 - Definitely vote,9,8,7,6,5,4,3,2,1,50.5,5.8,6.3,4.4,1.4,8.0,1.4,3.1,3.8,1.7,april-2026-omnibus-tables-for-the-i.xlsx,Tables
"1,521 GB Adults",29th-30th April 2026,,,,,,age,18 to 24,"BMG_LHV_1: On a scale of 0 to 10, where 0 means you definitely won't vote and 10 means you definitely will vote, how likely would you be to vote at a General Election if it was held today?",UNMATCHED,,10 - Definitely vote,9,8,7,6,5,4,3,2,1,33.8,6.7,22.7,5.6,4.3,11.6,1.1,1.6,3.8,,april-2026-omnibus-tables-for-the-i.xlsx,Tables
"1,521 GB Adults",29th-30th April 2026,,,,,,age,25 to 34,"BMG_LHV_1: On a scale of 0 to 10, where 0 means you definitely won't vote and 10 means you definitely will vote, how likely would you be to vote at a General Election if it was held today?",UNMATCHED,,10 - Definitely vote,9,8,7,6,5,4,3,2,1,44.8,8.0,8.2,7.0,2.4,7.3,4.3,1.5,4.4,0.9,april-2026-omnibus-tables-for-the-i.xlsx,Tables
"1,521 GB Adults",29th-30th April 2026,,,,,,age,35 to 44,"BMG_LHV_1: On a scale of 0 to 10, where 0 means you definitely won't vote and 10 means you definitely will vote, how likely would you be to vote at a General Election if it was held today?",UNMATCHED,,10 - Definitely vote,9,8,7,6,5,4,3,2,1,42.5,7.3,7.6,5.4,3.4,10.5,1.9,2.8,2.9,1.8,april-2026-omnibus-tables-for-the-i.xlsx,Tables
"1,521 GB Adults",29th-30th April 2026,,,,,,age,45 to 54,"BMG_LHV_1: On a scale of 0 to 10, where 0 means you definitely won't vote and 10 means you definitely will vote, how likely would you be to vote at a General Election if it was held today?",UNMATCHED,,10 - Definitely vote,9,8,7,6,5,4,3,2,1,51.4,8.1,5.0,3.4,2.0,8.6,1.9,4.1,1.3,2.7,april-2026-omnibus-tables-for-the-i.xlsx,Tables
"1,521 GB Adults",29th-30th April 2026,,,,,,age,55 to 64,"BMG_LHV_1: On a scale of 0 to 10, where 0 means you definitely won't vote and 10 means you definitely will vote, how likely would you be to vote at a General Election if it was held today?",UNMATCHED,,10 - Definitely vote,9,8,7,6,5,4,3,2,1,60.5,6.8,4.6,5.1,0.6,5.8,0.9,0.4,3.4,2.1,april-2026-omnibus-tables-for-the-i.xlsx,Tables
"1,521 GB Adults",29th-30th April 2026,,,,,,age,65+,"BMG_LHV_1: On a scale of 0 to 10, where 0 means you definitely won't vote and 10 means you definitely will vote, how likely would you be to vote at a General Election if it was held today?",UNMATCHED,,10 - Definitely vote,9,8,7,6,5,4,3,2,1,67.1,6.5,6.5,2.2,0.5,2.9,0.5,1.9,0.8,1.0,april-2026-omnibus-tables-for-the-i.xlsx,Tables
"1,521 GB Adults",29th-30th April 2026,,,,,,age,18 to 34,"BMG_LHV_1: On a scale of 0 to 10, where 0 means you definitely won't vote and 10 means you definitely will vote, how likely would you be to vote at a General Election if it was held today?",UNMATCHED,,10 - Definitely vote,9,8,7,6,5,4,3,2,1,40.6,7.5,13.7,6.5,3.1,9.0,3.1,1.6,4.2,0.6,april-2026-omnibus-tables-for-the-i.xlsx,Tables
