Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
"1,507 GB Adults",25th-26th March 2026,,,,,,total,Total,"BMG_LHV_1: On a scale of 0 to 10, where 0 means you definitely won't vote and 10 means you definitely will vote, how likely would you be to vote at a General Election if it was held today?",UNMATCHED,,10 - Definitely vote,9,8,7,6,5,4,3,2,1,51.3,6.5,7.5,4.9,2.3,6.8,2.1,2.3,2.1,1.4,march-2026-omnibus-tables-for-the-i (1).xlsx,Tables
"1,507 GB Adults",25th-26th March 2026,,,,,,gender,Male,"BMG_LHV_1: On a scale of 0 to 10, where 0 means you definitely won't vote and 10 means you definitely will vote, how likely would you be to vote at a General Election if it was held today?",UNMATCHED,,10 - Definitely vote,9,8,7,6,5,4,3,2,1,54.2,6.9,7.9,4.8,2.7,7.9,2.0,1.5,2.3,1.1,march-2026-omnibus-tables-for-the-i (1).xlsx,Tables
"1,507 GB Adults",25th-26th March 2026,,,,,,gender,Female,"BMG_LHV_1: On a scale of 0 to 10, where 0 means you definitely won't vote and 10 means you definitely will vote, how likely would you be to vote at a General Election if it was held today?",UNMATCHED,,10 - Definitely vote,9,8,7,6,5,4,3,2,1,48.6,6.0,7.1,4.9,1.9,5.8,2.1,3.1,1.9,1.7,march-2026-omnibus-tables-for-the-i (1).xlsx,Tables
"1,507 GB Adults",25th-26th March 2026,,,,,,age,18 to 24,"BMG_LHV_1: On a scale of 0 to 10, where 0 means you definitely won't vote and 10 means you definitely will vote, how likely would you be to vote at a General Election if it was held today?",UNMATCHED,,10 - Definitely vote,9,8,7,6,5,4,3,2,1,25.7,2.6,10.0,8.7,5.0,24.8,5.0,3.6,4.6,,march-2026-omnibus-tables-for-the-i (1).xlsx,Tables
"1,507 GB Adults",25th-26th March 2026,,,,,,age,25 to 34,"BMG_LHV_1: On a scale of 0 to 10, where 0 means you definitely won't vote and 10 means you definitely will vote, how likely would you be to vote at a General Election if it was held today?",UNMATCHED,,10 - Definitely vote,9,8,7,6,5,4,3,2,1,38.9,6.8,9.0,6.7,3.8,5.9,5.2,4.8,2.4,1.4,march-2026-omnibus-tables-for-the-i (1).xlsx,Tables
"1,507 GB Adults",25th-26th March 2026,,,,,,age,35 to 44,"BMG_LHV_1: On a scale of 0 to 10, where 0 means you definitely won't vote and 10 means you definitely will vote, how likely would you be to vote at a General Election if it was held today?",UNMATCHED,,10 - Definitely vote,9,8,7,6,5,4,3,2,1,42.2,7.9,10.2,5.1,2.0,4.3,1.7,1.9,3.9,2.3,march-2026-omnibus-tables-for-the-i (1).xlsx,Tables
"1,507 GB Adults",25th-26th March 2026,,,,,,age,45 to 54,"BMG_LHV_1: On a scale of 0 to 10, where 0 means you definitely won't vote and 10 means you definitely will vote, how likely would you be to vote at a General Election if it was held today?",UNMATCHED,,10 - Definitely vote,9,8,7,6,5,4,3,2,1,50.4,6.6,8.6,4.1,2.1,7.4,1.9,2.1,1.9,0.3,march-2026-omnibus-tables-for-the-i (1).xlsx,Tables
"1,507 GB Adults",25th-26th March 2026,,,,,,age,55 to 64,"BMG_LHV_1: On a scale of 0 to 10, where 0 means you definitely won't vote and 10 means you definitely will vote, how likely would you be to vote at a General Election if it was held today?",UNMATCHED,,10 - Definitely vote,9,8,7,6,5,4,3,2,1,66.1,8.5,5.1,2.3,1.3,3.0,0.2,0.9,1.3,1.4,march-2026-omnibus-tables-for-the-i (1).xlsx,Tables
"1,507 GB Adults",25th-26th March 2026,,,,,,age,65+,"BMG_LHV_1: On a scale of 0 to 10, where 0 means you definitely won't vote and 10 means you definitely will vote, how likely would you be to vote at a General Election if it was held today?",UNMATCHED,,10 - Definitely vote,9,8,7,6,5,4,3,2,1,68.0,5.5,4.3,3.9,0.9,3.6,0.2,1.3,0.2,2.0,march-2026-omnibus-tables-for-the-i (1).xlsx,Tables
"1,507 GB Adults",25th-26th March 2026,,,,,,age,18 to 34,"BMG_LHV_1: On a scale of 0 to 10, where 0 means you definitely won't vote and 10 means you definitely will vote, how likely would you be to vote at a General Election if it was held today?",UNMATCHED,,10 - Definitely vote,9,8,7,6,5,4,3,2,1,33.9,5.2,9.4,7.5,4.3,13.1,5.2,4.4,3.3,0.9,march-2026-omnibus-tables-for-the-i (1).xlsx,Tables
