Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
GB Adults,10-12 September 2024,,,,,,total,All,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,12.5,2.8,3.0,1.7,1.6,5.5,2.8,4.5,8.5,7.9,mic-first-vi.xlsx,likelihoodtovote
GB Adults,10-12 September 2024,,,,,,gender,Male,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,10.7,3.3,2.6,1.3,1.6,4.3,2.9,4.0,8.4,8.5,mic-first-vi.xlsx,likelihoodtovote
GB Adults,10-12 September 2024,,,,,,gender,Female,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,14.1,2.3,3.4,2.1,1.6,6.6,2.7,5.1,8.7,7.4,mic-first-vi.xlsx,likelihoodtovote
GB Adults,10-12 September 2024,,,,,,age,18-24,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,10.4,2.5,4.9,2.6,8.1,8.9,2.8,6.6,17.8,5.7,mic-first-vi.xlsx,likelihoodtovote
GB Adults,10-12 September 2024,,,,,,age,25-34,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,14.7,2.8,3.3,1.9,1.1,7.7,5.6,5.8,12.6,8.5,mic-first-vi.xlsx,likelihoodtovote
GB Adults,10-12 September 2024,,,,,,age,35-44,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,11.7,2.7,4.2,3.3,2.9,7.5,2.3,6.1,12.0,9.2,mic-first-vi.xlsx,likelihoodtovote
GB Adults,10-12 September 2024,,,,,,age,45-54,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,17.4,3.6,4.1,2.6,0.5,7.5,2.2,4.0,6.5,7.9,mic-first-vi.xlsx,likelihoodtovote
GB Adults,10-12 September 2024,,,,,,age,55-64,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,16.8,1.9,1.0,0.9,,3.1,1.7,3.1,3.1,9.1,mic-first-vi.xlsx,likelihoodtovote
GB Adults,10-12 September 2024,,,,,,age,65-74,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,5.0,2.6,1.7,,,1.8,4.2,2.0,5.6,8.4,mic-first-vi.xlsx,likelihoodtovote
GB Adults,10-12 September 2024,,,,,,age,75+,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,7.1,3.4,2.1,,,0.5,0.5,4.1,2.9,5.4,mic-first-vi.xlsx,likelihoodtovote
GB Adults,10-12 September 2024,,,,,,region,East Midlands,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,11.6,2.1,,5.5,3.7,0.8,2.7,8.7,8.5,7.5,mic-first-vi.xlsx,likelihoodtovote
GB Adults,10-12 September 2024,,,,,,region,East of England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,18.4,2.0,6.6,1.4,1.4,6.9,3.5,5.2,6.8,8.9,mic-first-vi.xlsx,likelihoodtovote
GB Adults,10-12 September 2024,,,,,,region,Greater London,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,13.4,,1.6,0.2,0.2,10.4,2.9,3.5,7.0,10.3,mic-first-vi.xlsx,likelihoodtovote
GB Adults,10-12 September 2024,,,,,,region,North East England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,12.7,4.4,3.1,0.6,6.6,4.9,1.8,4.9,9.7,9.0,mic-first-vi.xlsx,likelihoodtovote
GB Adults,10-12 September 2024,,,,,,region,North West England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,8.8,,1.4,1.1,0.2,6.3,5.6,4.7,11.8,6.6,mic-first-vi.xlsx,likelihoodtovote
GB Adults,10-12 September 2024,,,,,,region,Scotland,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,14.9,5.5,3.8,,,3.0,1.7,3.4,9.1,5.7,mic-first-vi.xlsx,likelihoodtovote
GB Adults,10-12 September 2024,,,,,,region,South East England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,10.5,5.4,4.7,1.3,1.3,4.4,2.0,3.1,9.6,8.7,mic-first-vi.xlsx,likelihoodtovote
GB Adults,10-12 September 2024,,,,,,region,South West England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,17.2,2.1,1.9,2.0,,5.1,3.2,3.3,6.3,4.3,mic-first-vi.xlsx,likelihoodtovote
GB Adults,10-12 September 2024,,,,,,region,Wales,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,5.5,5.6,3.5,6.0,7.2,4.3,4.2,2.1,4.6,6.9,mic-first-vi.xlsx,likelihoodtovote
GB Adults,10-12 September 2024,,,,,,region,West Midlands,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,6.3,3.4,0.2,0.8,3.4,7.5,0.9,4.9,9.0,14.0,mic-first-vi.xlsx,likelihoodtovote
GB Adults,10-12 September 2024,,,,,,region,Yorkshire and the Humber,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,16.3,2.9,6.3,2.9,,2.6,2.1,7.1,9.8,3.7,mic-first-vi.xlsx,likelihoodtovote
GB Adults,10-12 September 2024,,,,,,total,All,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Scottish National Party (SNP),Reform UK,Another party,,,,15.3,21.7,8.7,6.5,1.5,13.3,1.5,,,,mic-first-vi.xlsx,votingintention (raw)
GB Adults,10-12 September 2024,,,,,,gender,Male,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Scottish National Party (SNP),Reform UK,Another party,,,,15.4,26.7,8.0,5.3,2.0,16.6,1.9,,,,mic-first-vi.xlsx,votingintention (raw)
GB Adults,10-12 September 2024,,,,,,gender,Female,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Scottish National Party (SNP),Reform UK,Another party,,,,15.2,17.1,9.4,7.7,1.1,10.3,1.1,,,,mic-first-vi.xlsx,votingintention (raw)
GB Adults,10-12 September 2024,,,,,,age,18-24,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Scottish National Party (SNP),Reform UK,Another party,,,,5.7,29.9,4.4,15.3,0.9,9.5,1.2,,,,mic-first-vi.xlsx,votingintention (raw)
GB Adults,10-12 September 2024,,,,,,age,25-34,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Scottish National Party (SNP),Reform UK,Another party,,,,11.1,27.2,7.2,7.1,0.9,14.0,2.1,,,,mic-first-vi.xlsx,votingintention (raw)
GB Adults,10-12 September 2024,,,,,,age,35-44,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Scottish National Party (SNP),Reform UK,Another party,,,,8.5,26.7,7.6,10.2,1.9,9.6,3.0,,,,mic-first-vi.xlsx,votingintention (raw)
GB Adults,10-12 September 2024,,,,,,age,45-54,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Scottish National Party (SNP),Reform UK,Another party,,,,12.3,17.9,9.1,4.9,1.4,10.5,2.2,,,,mic-first-vi.xlsx,votingintention (raw)
GB Adults,10-12 September 2024,,,,,,age,55-64,votingintention (raw),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Scottish National Party (SNP),Reform UK,Another party,,,,15.1,19.4,8.1,3.3,1.3,19.7,,,,,mic-first-vi.xlsx,votingintention (raw)
