Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
GB Adults,30 October - 1 November,,,,,,total,All,votingintention (headline),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party,,,,,26.2,27.6,13.9,8.1,17.6,3.1,,,,,trackers-30-october-1-november.xlsx,votingintention (headline)
GB Adults,30 October - 1 November,,,,,,gender,Male,votingintention (headline),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party,,,,,22.8,29.5,11.0,7.4,21.4,3.9,,,,,trackers-30-october-1-november.xlsx,votingintention (headline)
GB Adults,30 October - 1 November,,,,,,gender,Female,votingintention (headline),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party,,,,,29.9,25.4,17.0,8.9,13.6,2.3,,,,,trackers-30-october-1-november.xlsx,votingintention (headline)
GB Adults,30 October - 1 November,,,,,,age,18-24,votingintention (headline),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party,,,,,13.5,38.3,9.2,12.2,20.2,3.0,,,,,trackers-30-october-1-november.xlsx,votingintention (headline)
GB Adults,30 October - 1 November,,,,,,age,25-34,votingintention (headline),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party,,,,,14.8,44.7,13.2,13.7,9.7,,,,,,trackers-30-october-1-november.xlsx,votingintention (headline)
GB Adults,30 October - 1 November,,,,,,age,35-44,votingintention (headline),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party,,,,,16.4,37.0,10.7,11.0,15.4,7.1,,,,,trackers-30-october-1-november.xlsx,votingintention (headline)
GB Adults,30 October - 1 November,,,,,,age,45-54,votingintention (headline),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party,,,,,25.1,22.6,9.3,7.1,23.9,8.2,,,,,trackers-30-october-1-november.xlsx,votingintention (headline)
GB Adults,30 October - 1 November,,,,,,age,55-64,votingintention (headline),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party,,,,,23.7,27.6,14.3,8.4,21.2,1.7,,,,,trackers-30-october-1-november.xlsx,votingintention (headline)
GB Adults,30 October - 1 November,,,,,,age,65-74,votingintention (headline),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party,,,,,34.2,19.5,17.6,3.9,19.4,0.8,,,,,trackers-30-october-1-november.xlsx,votingintention (headline)
GB Adults,30 October - 1 November,,,,,,age,75+,votingintention (headline),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party,,,,,47.9,12.4,20.6,3.7,12.6,,,,,,trackers-30-october-1-november.xlsx,votingintention (headline)
GB Adults,30 October - 1 November,,,,,,region,East Midlands,votingintention (headline),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party,,,,,28.8,27.4,15.6,3.4,24.0,0.7,,,,,trackers-30-october-1-november.xlsx,votingintention (headline)
GB Adults,30 October - 1 November,,,,,,region,East of England,votingintention (headline),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party,,,,,28.9,23.6,18.9,3.7,24.8,,,,,,trackers-30-october-1-november.xlsx,votingintention (headline)
GB Adults,30 October - 1 November,,,,,,region,Greater London,votingintention (headline),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party,,,,,23.0,35.5,14.4,6.9,18.7,1.6,,,,,trackers-30-october-1-november.xlsx,votingintention (headline)
GB Adults,30 October - 1 November,,,,,,region,North East England,votingintention (headline),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party,,,,,21.7,40.6,12.3,5.6,19.7,,,,,,trackers-30-october-1-november.xlsx,votingintention (headline)
GB Adults,30 October - 1 November,,,,,,region,North West England,votingintention (headline),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party,,,,,20.5,32.2,13.3,9.3,14.7,9.9,,,,,trackers-30-october-1-november.xlsx,votingintention (headline)
GB Adults,30 October - 1 November,,,,,,region,Scotland,votingintention (headline),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party,,,,,14.7,21.9,10.7,7.2,9.3,9.4,,,,,trackers-30-october-1-november.xlsx,votingintention (headline)
GB Adults,30 October - 1 November,,,,,,region,South East England,votingintention (headline),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party,,,,,35.4,16.8,14.3,13.8,19.6,,,,,,trackers-30-october-1-november.xlsx,votingintention (headline)
GB Adults,30 October - 1 November,,,,,,region,South West England,votingintention (headline),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party,,,,,29.6,24.2,20.7,8.0,17.5,,,,,,trackers-30-october-1-november.xlsx,votingintention (headline)
GB Adults,30 October - 1 November,,,,,,region,Wales,votingintention (headline),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party,,,,,28.2,29.2,8.0,6.3,10.7,7.1,,,,,trackers-30-october-1-november.xlsx,votingintention (headline)
GB Adults,30 October - 1 November,,,,,,region,West Midlands,votingintention (headline),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party,,,,,29.3,24.6,10.5,13.1,18.3,4.3,,,,,trackers-30-october-1-november.xlsx,votingintention (headline)
GB Adults,30 October - 1 November,,,,,,region,Yorkshire and the Humber,votingintention (headline),UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party,,,,,29.0,37.9,8.7,7.3,17.1,,,,,,trackers-30-october-1-november.xlsx,votingintention (headline)
GB Adults,30 October - 1 November,,,,,,total,All,changetracker,UNMATCHED,,Feels genuinely different,Feels like more of the same,,,,,,,,,38.5,61.5,,,,,,,,,trackers-30-october-1-november.xlsx,changetracker
GB Adults,30 October - 1 November,,,,,,gender,Male,changetracker,UNMATCHED,,Feels genuinely different,Feels like more of the same,,,,,,,,,37.7,62.3,,,,,,,,,trackers-30-october-1-november.xlsx,changetracker
GB Adults,30 October - 1 November,,,,,,gender,Female,changetracker,UNMATCHED,,Feels genuinely different,Feels like more of the same,,,,,,,,,39.3,60.7,,,,,,,,,trackers-30-october-1-november.xlsx,changetracker
GB Adults,30 October - 1 November,,,,,,age,18-24,changetracker,UNMATCHED,,Feels genuinely different,Feels like more of the same,,,,,,,,,32.1,67.9,,,,,,,,,trackers-30-october-1-november.xlsx,changetracker
GB Adults,30 October - 1 November,,,,,,age,25-34,changetracker,UNMATCHED,,Feels genuinely different,Feels like more of the same,,,,,,,,,40.3,59.7,,,,,,,,,trackers-30-october-1-november.xlsx,changetracker
GB Adults,30 October - 1 November,,,,,,age,35-44,changetracker,UNMATCHED,,Feels genuinely different,Feels like more of the same,,,,,,,,,34.1,65.9,,,,,,,,,trackers-30-october-1-november.xlsx,changetracker
GB Adults,30 October - 1 November,,,,,,age,45-54,changetracker,UNMATCHED,,Feels genuinely different,Feels like more of the same,,,,,,,,,30.2,69.8,,,,,,,,,trackers-30-october-1-november.xlsx,changetracker
GB Adults,30 October - 1 November,,,,,,age,55-64,changetracker,UNMATCHED,,Feels genuinely different,Feels like more of the same,,,,,,,,,45.2,54.8,,,,,,,,,trackers-30-october-1-november.xlsx,changetracker
GB Adults,30 October - 1 November,,,,,,age,65-74,changetracker,UNMATCHED,,Feels genuinely different,Feels like more of the same,,,,,,,,,37.6,62.4,,,,,,,,,trackers-30-october-1-november.xlsx,changetracker
GB Adults,30 October - 1 November,,,,,,age,75+,changetracker,UNMATCHED,,Feels genuinely different,Feels like more of the same,,,,,,,,,52.2,47.8,,,,,,,,,trackers-30-october-1-november.xlsx,changetracker
GB Adults,30 October - 1 November,,,,,,region,East Midlands,changetracker,UNMATCHED,,Feels genuinely different,Feels like more of the same,,,,,,,,,27.2,72.8,,,,,,,,,trackers-30-october-1-november.xlsx,changetracker
GB Adults,30 October - 1 November,,,,,,region,East of England,changetracker,UNMATCHED,,Feels genuinely different,Feels like more of the same,,,,,,,,,36.4,63.6,,,,,,,,,trackers-30-october-1-november.xlsx,changetracker
GB Adults,30 October - 1 November,,,,,,region,Greater London,changetracker,UNMATCHED,,Feels genuinely different,Feels like more of the same,,,,,,,,,44.2,55.8,,,,,,,,,trackers-30-october-1-november.xlsx,changetracker
GB Adults,30 October - 1 November,,,,,,region,North East England,changetracker,UNMATCHED,,Feels genuinely different,Feels like more of the same,,,,,,,,,26.2,73.8,,,,,,,,,trackers-30-october-1-november.xlsx,changetracker
GB Adults,30 October - 1 November,,,,,,region,North West England,changetracker,UNMATCHED,,Feels genuinely different,Feels like more of the same,,,,,,,,,49.5,50.5,,,,,,,,,trackers-30-october-1-november.xlsx,changetracker
GB Adults,30 October - 1 November,,,,,,region,Scotland,changetracker,UNMATCHED,,Feels genuinely different,Feels like more of the same,,,,,,,,,36.4,63.6,,,,,,,,,trackers-30-october-1-november.xlsx,changetracker
GB Adults,30 October - 1 November,,,,,,region,South East England,changetracker,UNMATCHED,,Feels genuinely different,Feels like more of the same,,,,,,,,,41.1,58.9,,,,,,,,,trackers-30-october-1-november.xlsx,changetracker
GB Adults,30 October - 1 November,,,,,,region,South West England,changetracker,UNMATCHED,,Feels genuinely different,Feels like more of the same,,,,,,,,,49.0,51.0,,,,,,,,,trackers-30-october-1-november.xlsx,changetracker
GB Adults,30 October - 1 November,,,,,,region,Wales,changetracker,UNMATCHED,,Feels genuinely different,Feels like more of the same,,,,,,,,,29.1,70.9,,,,,,,,,trackers-30-october-1-november.xlsx,changetracker
GB Adults,30 October - 1 November,,,,,,region,West Midlands,changetracker,UNMATCHED,,Feels genuinely different,Feels like more of the same,,,,,,,,,33.1,66.9,,,,,,,,,trackers-30-october-1-november.xlsx,changetracker
GB Adults,30 October - 1 November,,,,,,region,Yorkshire and the Humber,changetracker,UNMATCHED,,Feels genuinely different,Feels like more of the same,,,,,,,,,35.7,64.3,,,,,,,,,trackers-30-october-1-november.xlsx,changetracker
GB Adults,30 October - 1 November,,,,,,total,All,changebetterorworse,UNMATCHED,,Things are getting better,Things are getting worse,Things are staying about the same,,,,,,,,11.2,63.4,21.0,,,,,,,,trackers-30-october-1-november.xlsx,changebetterorworse
GB Adults,30 October - 1 November,,,,,,gender,Male,changebetterorworse,UNMATCHED,,Things are getting better,Things are getting worse,Things are staying about the same,,,,,,,,14.5,55.3,24.9,,,,,,,,trackers-30-october-1-november.xlsx,changebetterorworse
GB Adults,30 October - 1 November,,,,,,gender,Female,changebetterorworse,UNMATCHED,,Things are getting better,Things are getting worse,Things are staying about the same,,,,,,,,8.4,70.7,17.6,,,,,,,,trackers-30-october-1-november.xlsx,changebetterorworse
GB Adults,30 October - 1 November,,,,,,age,18-24,changebetterorworse,UNMATCHED,,Things are getting better,Things are getting worse,Things are staying about the same,,,,,,,,21.5,61.2,13.9,,,,,,,,trackers-30-october-1-november.xlsx,changebetterorworse
GB Adults,30 October - 1 November,,,,,,age,25-34,changebetterorworse,UNMATCHED,,Things are getting better,Things are getting worse,Things are staying about the same,,,,,,,,19.1,57.4,22.2,,,,,,,,trackers-30-october-1-november.xlsx,changebetterorworse
GB Adults,30 October - 1 November,,,,,,age,35-44,changebetterorworse,UNMATCHED,,Things are getting better,Things are getting worse,Things are staying about the same,,,,,,,,15.1,61.0,21.7,,,,,,,,trackers-30-october-1-november.xlsx,changebetterorworse
GB Adults,30 October - 1 November,,,,,,age,45-54,changebetterorworse,UNMATCHED,,Things are getting better,Things are getting worse,Things are staying about the same,,,,,,,,9.7,64.4,21.5,,,,,,,,trackers-30-october-1-november.xlsx,changebetterorworse
GB Adults,30 October - 1 November,,,,,,age,55-64,changebetterorworse,UNMATCHED,,Things are getting better,Things are getting worse,Things are staying about the same,,,,,,,,5.5,67.5,23.7,,,,,,,,trackers-30-october-1-november.xlsx,changebetterorworse
GB Adults,30 October - 1 November,,,,,,age,65-74,changebetterorworse,UNMATCHED,,Things are getting better,Things are getting worse,Things are staying about the same,,,,,,,,1.6,67.7,20.7,,,,,,,,trackers-30-october-1-november.xlsx,changebetterorworse
GB Adults,30 October - 1 November,,,,,,age,75+,changebetterorworse,UNMATCHED,,Things are getting better,Things are getting worse,Things are staying about the same,,,,,,,,5.6,65.6,21.4,,,,,,,,trackers-30-october-1-november.xlsx,changebetterorworse
GB Adults,30 October - 1 November,,,,,,region,East Midlands,changebetterorworse,UNMATCHED,,Things are getting better,Things are getting worse,Things are staying about the same,,,,,,,,9.9,76.2,13.2,,,,,,,,trackers-30-october-1-november.xlsx,changebetterorworse
GB Adults,30 October - 1 November,,,,,,region,East of England,changebetterorworse,UNMATCHED,,Things are getting better,Things are getting worse,Things are staying about the same,,,,,,,,14.8,56.4,25.6,,,,,,,,trackers-30-october-1-november.xlsx,changebetterorworse
GB Adults,30 October - 1 November,,,,,,region,Greater London,changebetterorworse,UNMATCHED,,Things are getting better,Things are getting worse,Things are staying about the same,,,,,,,,16.7,49.9,26.3,,,,,,,,trackers-30-october-1-november.xlsx,changebetterorworse
GB Adults,30 October - 1 November,,,,,,region,North East England,changebetterorworse,UNMATCHED,,Things are getting better,Things are getting worse,Things are staying about the same,,,,,,,,7.4,66.8,17.1,,,,,,,,trackers-30-october-1-november.xlsx,changebetterorworse
GB Adults,30 October - 1 November,,,,,,region,North West England,changebetterorworse,UNMATCHED,,Things are getting better,Things are getting worse,Things are staying about the same,,,,,,,,10.9,65.0,23.6,,,,,,,,trackers-30-october-1-november.xlsx,changebetterorworse
GB Adults,30 October - 1 November,,,,,,region,Scotland,changebetterorworse,UNMATCHED,,Things are getting better,Things are getting worse,Things are staying about the same,,,,,,,,14.6,58.3,24.4,,,,,,,,trackers-30-october-1-november.xlsx,changebetterorworse
GB Adults,30 October - 1 November,,,,,,region,South East England,changebetterorworse,UNMATCHED,,Things are getting better,Things are getting worse,Things are staying about the same,,,,,,,,4.7,79.1,15.8,,,,,,,,trackers-30-october-1-november.xlsx,changebetterorworse
