Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
GB Adults,26-29 June 2026,,,,,,total,All,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,11.1,2.1,2.1,1.2,1.8,6.9,2.6,4.4,7.9,8.5,voting-intention-26-29-June.xlsx,likelihoodtovote
GB Adults,26-29 June 2026,,,,,,gender,Male,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,8.8,1.7,1.1,0.5,2.4,5.6,2.2,4.5,8.0,12.1,voting-intention-26-29-June.xlsx,likelihoodtovote
GB Adults,26-29 June 2026,,,,,,gender,Female,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,13.2,2.5,3.0,1.8,1.2,7.9,2.9,4.3,7.8,5.4,voting-intention-26-29-June.xlsx,likelihoodtovote
GB Adults,26-29 June 2026,,,,,,age,18-24,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,6.8,2.0,3.8,,6.5,8.5,3.6,11.8,5.0,7.0,voting-intention-26-29-June.xlsx,likelihoodtovote
GB Adults,26-29 June 2026,,,,,,age,25-34,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,6.7,1.1,2.8,3.1,1.8,13.3,1.2,4.7,13.5,9.1,voting-intention-26-29-June.xlsx,likelihoodtovote
GB Adults,26-29 June 2026,,,,,,age,35-44,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,19.4,3.6,2.3,1.1,2.5,6.7,4.5,3.9,8.3,11.5,voting-intention-26-29-June.xlsx,likelihoodtovote
GB Adults,26-29 June 2026,,,,,,age,45-54,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,12.8,3.1,2.1,1.6,0.8,8.0,5.0,5.1,7.3,5.9,voting-intention-26-29-June.xlsx,likelihoodtovote
GB Adults,26-29 June 2026,,,,,,age,55-64,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,11.3,3.1,1.6,0.5,1.0,4.7,1.6,1.6,7.2,8.9,voting-intention-26-29-June.xlsx,likelihoodtovote
GB Adults,26-29 June 2026,,,,,,age,65-74,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,11.2,,1.1,1.3,0.9,2.3,1.5,4.5,5.9,6.5,voting-intention-26-29-June.xlsx,likelihoodtovote
GB Adults,26-29 June 2026,,,,,,age,75+,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,5.5,1.0,1.5,,0.4,3.0,0.2,2.0,5.4,10.1,voting-intention-26-29-June.xlsx,likelihoodtovote
GB Adults,26-29 June 2026,,,,,,region,East Midlands,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,18.7,,6.1,0.3,2.3,3.2,1.5,7.9,5.9,3.3,voting-intention-26-29-June.xlsx,likelihoodtovote
GB Adults,26-29 June 2026,,,,,,region,East of England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,13.4,2.7,1.9,0.9,1.6,11.4,2.4,2.4,6.4,9.7,voting-intention-26-29-June.xlsx,likelihoodtovote
GB Adults,26-29 June 2026,,,,,,region,Greater London,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,7.2,4.6,3.0,0.8,1.9,6.7,1.9,4.4,10.2,8.1,voting-intention-26-29-June.xlsx,likelihoodtovote
GB Adults,26-29 June 2026,,,,,,region,North East England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,18.1,,,,1.4,1.2,5.3,7.3,10.8,9.9,voting-intention-26-29-June.xlsx,likelihoodtovote
GB Adults,26-29 June 2026,,,,,,region,North West England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,4.0,0.1,2.2,3.5,1.2,8.2,3.6,4.1,7.8,11.9,voting-intention-26-29-June.xlsx,likelihoodtovote
GB Adults,26-29 June 2026,,,,,,region,Scotland,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,14.4,,5.6,,4.4,8.4,0.5,3.2,7.1,7.2,voting-intention-26-29-June.xlsx,likelihoodtovote
GB Adults,26-29 June 2026,,,,,,region,South East England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,8.6,4.3,0.5,2.7,1.9,8.4,1.9,1.4,10.9,9.5,voting-intention-26-29-June.xlsx,likelihoodtovote
