Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
GB Adults,24 - 27 July 2026,,,,,,total,All,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,2,3,4,5,6,7,8,9,10 - Certain to vote,13.8,2.3,1.7,0.8,7.2,2.5,4.8,6.7,8.1,45.9,voting-intention-27-july.xlsx,likelihoodtovote
GB Adults,24 - 27 July 2026,,,,,,gender,Male,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,2,3,4,5,6,7,8,9,10 - Certain to vote,11.0,2.3,1.7,0.6,7.1,2.7,5.4,7.6,9.3,48.5,voting-intention-27-july.xlsx,likelihoodtovote
GB Adults,24 - 27 July 2026,,,,,,gender,Female,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,2,3,4,5,6,7,8,9,10 - Certain to vote,16.5,2.4,1.7,1.0,7.3,2.4,4.2,5.9,6.9,43.5,voting-intention-27-july.xlsx,likelihoodtovote
GB Adults,24 - 27 July 2026,,,,,,age,18-24,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,2,3,4,5,6,7,8,9,10 - Certain to vote,18.7,2.6,4.6,3.4,9.3,4.7,6.4,7.0,8.4,29.6,voting-intention-27-july.xlsx,likelihoodtovote
GB Adults,24 - 27 July 2026,,,,,,age,25-34,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,2,3,4,5,6,7,8,9,10 - Certain to vote,19.4,1.6,2.1,1.7,13.5,2.6,5.0,8.7,7.8,36.1,voting-intention-27-july.xlsx,likelihoodtovote
GB Adults,24 - 27 July 2026,,,,,,age,35-44,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,2,3,4,5,6,7,8,9,10 - Certain to vote,19.5,3.0,1.5,,9.7,4.4,8.1,6.4,7.6,29.7,voting-intention-27-july.xlsx,likelihoodtovote
GB Adults,24 - 27 July 2026,,,,,,age,45-54,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,2,3,4,5,6,7,8,9,10 - Certain to vote,12.1,4.4,1.2,0.5,3.7,2.4,4.4,8.8,6.1,51.5,voting-intention-27-july.xlsx,likelihoodtovote
GB Adults,24 - 27 July 2026,,,,,,age,55-64,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,2,3,4,5,6,7,8,9,10 - Certain to vote,11.2,2.4,,0.2,7.3,1.5,4.1,4.5,7.6,49.6,voting-intention-27-july.xlsx,likelihoodtovote
GB Adults,24 - 27 July 2026,,,,,,age,65-74,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,2,3,4,5,6,7,8,9,10 - Certain to vote,8.9,1.5,1.4,0.2,3.1,1.6,2.9,6.6,7.5,60.3,voting-intention-27-july.xlsx,likelihoodtovote
GB Adults,24 - 27 July 2026,,,,,,age,75+,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,2,3,4,5,6,7,8,9,10 - Certain to vote,2.9,,2.4,,0.9,,1.1,4.1,13.5,74.3,voting-intention-27-july.xlsx,likelihoodtovote
