Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
GB Adults,14-17 August 2026,,,,,,total,All,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,14.8,2.4,1.9,1.7,1.0,4.9,3.9,4.8,9.0,9.8,voting-intention-and-trackers-19-August.xlsx,likelihoodtovote
GB Adults,14-17 August 2026,,,,,,gender,Male,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,12.4,2.0,1.1,0.7,0.7,3.7,3.1,5.2,9.2,13.1,voting-intention-and-trackers-19-August.xlsx,likelihoodtovote
GB Adults,14-17 August 2026,,,,,,gender,Female,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,17.1,2.7,2.6,2.7,1.2,6.1,4.5,4.4,8.9,6.7,voting-intention-and-trackers-19-August.xlsx,likelihoodtovote
GB Adults,14-17 August 2026,,,,,,age,18-24,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,5.5,1.5,1.9,2.2,0.8,6.8,5.6,6.4,13.8,15.4,voting-intention-and-trackers-19-August.xlsx,likelihoodtovote
GB Adults,14-17 August 2026,,,,,,age,25-34,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,14.0,,2.2,1.3,0.5,5.0,9.1,6.1,11.8,9.0,voting-intention-and-trackers-19-August.xlsx,likelihoodtovote
GB Adults,14-17 August 2026,,,,,,age,35-44,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,20.5,1.4,3.0,2.9,2.5,8.0,2.4,5.9,8.0,7.8,voting-intention-and-trackers-19-August.xlsx,likelihoodtovote
GB Adults,14-17 August 2026,,,,,,age,45-54,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,21.1,4.4,2.9,1.6,1.0,3.8,3.3,5.0,10.5,9.4,voting-intention-and-trackers-19-August.xlsx,likelihoodtovote
GB Adults,14-17 August 2026,,,,,,age,55-64,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,16.2,3.5,1.5,2.0,0.7,5.0,2.5,5.8,7.5,7.9,voting-intention-and-trackers-19-August.xlsx,likelihoodtovote
GB Adults,14-17 August 2026,,,,,,age,65-74,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,11.3,3.5,0.3,1.8,,1.7,1.5,2.4,6.4,10.3,voting-intention-and-trackers-19-August.xlsx,likelihoodtovote
GB Adults,14-17 August 2026,,,,,,age,75+,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,9.6,2.4,0.7,,0.8,3.1,1.8,,4.8,11.4,voting-intention-and-trackers-19-August.xlsx,likelihoodtovote
GB Adults,14-17 August 2026,,,,,,region,East Midlands,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,14.6,1.5,3.7,,,8.1,1.8,5.2,10.4,9.5,voting-intention-and-trackers-19-August.xlsx,likelihoodtovote
GB Adults,14-17 August 2026,,,,,,region,East of England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,19.6,5.6,2.1,4.0,0.8,6.2,6.7,5.9,5.2,8.2,voting-intention-and-trackers-19-August.xlsx,likelihoodtovote
GB Adults,14-17 August 2026,,,,,,region,Greater London,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,5.0,2.1,1.2,2.8,0.4,7.0,1.7,5.1,13.3,9.6,voting-intention-and-trackers-19-August.xlsx,likelihoodtovote
GB Adults,14-17 August 2026,,,,,,region,North East England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,29.6,4.1,1.9,,1.9,6.9,3.8,4.6,0.5,7.5,voting-intention-and-trackers-19-August.xlsx,likelihoodtovote
GB Adults,14-17 August 2026,,,,,,region,North West England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,14.5,0.8,2.2,2.7,0.3,3.5,7.0,3.4,11.0,11.9,voting-intention-and-trackers-19-August.xlsx,likelihoodtovote
GB Adults,14-17 August 2026,,,,,,region,Scotland,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,12.1,1.2,3.1,,0.5,4.3,2.9,6.2,11.4,10.3,voting-intention-and-trackers-19-August.xlsx,likelihoodtovote
GB Adults,14-17 August 2026,,,,,,region,South East England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,13.1,4.9,0.7,1.1,,3.2,4.2,2.7,7.9,10.2,voting-intention-and-trackers-19-August.xlsx,likelihoodtovote
GB Adults,14-17 August 2026,,,,,,region,South West England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,16.8,0.8,5.3,0.8,3.9,2.4,5.6,3.7,9.4,8.9,voting-intention-and-trackers-19-August.xlsx,likelihoodtovote
GB Adults,14-17 August 2026,,,,,,region,Wales,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,24.7,,,,,6.6,0.7,7.4,5.2,7.2,voting-intention-and-trackers-19-August.xlsx,likelihoodtovote
GB Adults,14-17 August 2026,,,,,,region,West Midlands,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,16.3,0.9,,1.9,1.1,5.3,4.4,6.4,10.1,10.3,voting-intention-and-trackers-19-August.xlsx,likelihoodtovote
GB Adults,14-17 August 2026,,,,,,region,Yorkshire and the Humber,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,14.7,2.5,0.9,3.1,2.8,3.1,1.5,4.1,7.4,11.1,voting-intention-and-trackers-19-August.xlsx,likelihoodtovote
GB Adults,14-17 August 2026,,,,,,total,All,votingintention,UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,13.7,18.3,7.1,7.0,17.7,2.8,,,,,voting-intention-and-trackers-19-August.xlsx,votingintention (raw)
