Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
GB Adults,3- 6 July 2026,,,,,,total,All,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,12.0,3.3,2.5,1.9,0.8,4.9,2.6,4.2,9.6,8.9,voting-intention-and-trackers-6-july-2026 (1).xlsx,likelihoodtovote
GB Adults,3- 6 July 2026,,,,,,gender,Male,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,9.0,2.9,1.9,1.8,0.8,5.7,2.9,3.7,11.5,10.2,voting-intention-and-trackers-6-july-2026 (1).xlsx,likelihoodtovote
GB Adults,3- 6 July 2026,,,,,,gender,Female,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,14.7,3.7,3.1,2.1,0.8,4.1,2.3,4.7,7.8,7.6,voting-intention-and-trackers-6-july-2026 (1).xlsx,likelihoodtovote
GB Adults,3- 6 July 2026,,,,,,age,18-24,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,9.0,1.2,2.1,2.3,0.4,4.3,7.2,12.1,14.4,10.4,voting-intention-and-trackers-6-july-2026 (1).xlsx,likelihoodtovote
GB Adults,3- 6 July 2026,,,,,,age,25-34,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,10.1,4.7,0.8,,0.4,8.3,4.8,2.5,15.1,10.6,voting-intention-and-trackers-6-july-2026 (1).xlsx,likelihoodtovote
GB Adults,3- 6 July 2026,,,,,,age,35-44,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,18.2,5.3,7.5,3.2,1.3,5.6,3.4,5.2,9.8,10.0,voting-intention-and-trackers-6-july-2026 (1).xlsx,likelihoodtovote
GB Adults,3- 6 July 2026,,,,,,age,45-54,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,16.7,4.1,1.5,1.4,1.0,6.2,1.5,4.9,11.8,7.3,voting-intention-and-trackers-6-july-2026 (1).xlsx,likelihoodtovote
GB Adults,3- 6 July 2026,,,,,,age,55-64,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,14.9,3.6,2.9,2.7,1.7,3.7,1.1,3.7,8.0,7.2,voting-intention-and-trackers-6-july-2026 (1).xlsx,likelihoodtovote
GB Adults,3- 6 July 2026,,,,,,age,65-74,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,6.5,,0.9,3.9,,3.1,0.2,0.8,4.1,7.2,voting-intention-and-trackers-6-july-2026 (1).xlsx,likelihoodtovote
GB Adults,3- 6 July 2026,,,,,,age,75+,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,2.3,1.8,0.4,,,0.8,,1.6,1.7,9.7,voting-intention-and-trackers-6-july-2026 (1).xlsx,likelihoodtovote
GB Adults,3- 6 July 2026,,,,,,region,East Midlands,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,12.1,2.5,1.7,,0.6,4.0,3.0,3.7,5.8,11.2,voting-intention-and-trackers-6-july-2026 (1).xlsx,likelihoodtovote
GB Adults,3- 6 July 2026,,,,,,region,East of England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,13.0,2.9,6.2,1.2,0.3,5.5,1.1,3.5,8.9,6.3,voting-intention-and-trackers-6-july-2026 (1).xlsx,likelihoodtovote
GB Adults,3- 6 July 2026,,,,,,region,Greater London,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,5.5,1.0,3.0,1.8,0.2,8.1,3.0,2.9,13.8,11.2,voting-intention-and-trackers-6-july-2026 (1).xlsx,likelihoodtovote
GB Adults,3- 6 July 2026,,,,,,region,North East England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,18.3,8.7,,5.2,,2.2,6.3,5.8,3.4,7.8,voting-intention-and-trackers-6-july-2026 (1).xlsx,likelihoodtovote
GB Adults,3- 6 July 2026,,,,,,region,North West England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,19.0,1.4,1.9,4.3,2.2,4.6,1.0,8.3,12.2,3.5,voting-intention-and-trackers-6-july-2026 (1).xlsx,likelihoodtovote
GB Adults,3- 6 July 2026,,,,,,region,Scotland,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,11.9,1.7,5.4,4.4,,7.9,1.1,1.6,8.9,6.3,voting-intention-and-trackers-6-july-2026 (1).xlsx,likelihoodtovote
GB Adults,3- 6 July 2026,,,,,,region,South East England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,6.9,8.4,0.3,2.6,0.8,0.9,3.2,2.3,8.9,11.9,voting-intention-and-trackers-6-july-2026 (1).xlsx,likelihoodtovote
GB Adults,3- 6 July 2026,,,,,,region,South West England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,11.4,2.4,2.1,0.3,2.4,5.5,4.0,5.8,8.0,7.2,voting-intention-and-trackers-6-july-2026 (1).xlsx,likelihoodtovote
GB Adults,3- 6 July 2026,,,,,,region,Wales,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,26.5,2.7,,0.6,,2.4,,2.6,5.2,14.2,voting-intention-and-trackers-6-july-2026 (1).xlsx,likelihoodtovote
GB Adults,3- 6 July 2026,,,,,,region,West Midlands,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,9.6,,3.4,,0.5,6.0,1.6,7.5,11.4,9.8,voting-intention-and-trackers-6-july-2026 (1).xlsx,likelihoodtovote
GB Adults,3- 6 July 2026,,,,,,region,Yorkshire and the Humber,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,11.5,5.7,2.2,1.2,0.4,4.9,4.9,2.9,11.0,8.9,voting-intention-and-trackers-6-july-2026 (1).xlsx,likelihoodtovote
GB Adults,3- 6 July 2026,,,,,,total,All,votingintention,UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,14.9,15.7,8.3,7.0,19.3,2.8,,,,,voting-intention-and-trackers-6-july-2026 (1).xlsx,votingintention
GB Adults,3- 6 July 2026,,,,,,gender,Male,votingintention,UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,15.4,17.8,7.8,6.0,22.0,4.2,,,,,voting-intention-and-trackers-6-july-2026 (1).xlsx,votingintention
GB Adults,3- 6 July 2026,,,,,,gender,Female,votingintention,UNMATCHED,,Conservative,Labour,Liberal Democrat,The Green Party,Reform UK,Another party/Independent candidate,,,,,14.5,13.7,8.8,7.9,16.8,1.6,,,,,voting-intention-and-trackers-6-july-2026 (1).xlsx,votingintention
