Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
GB Adults,29 May - 1 June 2026,,,,,,total,All,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,16.0,3.4,1.8,1.5,1.5,5.0,2.0,5.9,9.4,6.8,voting-intention-june-3.xlsx,likelihoodtovote
GB Adults,29 May - 1 June 2026,,,,,,gender,Male,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,14.7,2.6,1.6,2.0,1.0,3.5,0.7,6.5,11.3,8.8,voting-intention-june-3.xlsx,likelihoodtovote
GB Adults,29 May - 1 June 2026,,,,,,gender,Female,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,17.3,4.1,1.9,1.1,2.0,6.3,3.2,5.3,7.6,5.0,voting-intention-june-3.xlsx,likelihoodtovote
GB Adults,29 May - 1 June 2026,,,,,,age,18-24,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,13.9,4.4,4.9,2.7,4.4,3.3,1.6,11.6,12.3,4.5,voting-intention-june-3.xlsx,likelihoodtovote
GB Adults,29 May - 1 June 2026,,,,,,age,25-34,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,8.3,2.0,0.2,1.1,0.3,9.6,5.7,7.6,11.6,13.1,voting-intention-june-3.xlsx,likelihoodtovote
GB Adults,29 May - 1 June 2026,,,,,,age,35-44,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,23.0,3.1,0.8,1.3,0.8,4.1,1.4,6.4,11.6,7.1,voting-intention-june-3.xlsx,likelihoodtovote
GB Adults,29 May - 1 June 2026,,,,,,age,45-54,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,19.0,5.8,2.2,1.4,1.8,6.1,2.2,4.8,10.3,4.5,voting-intention-june-3.xlsx,likelihoodtovote
GB Adults,29 May - 1 June 2026,,,,,,age,55-64,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,16.0,2.9,1.5,2.3,1.3,5.1,1.3,5.0,8.0,5.7,voting-intention-june-3.xlsx,likelihoodtovote
GB Adults,29 May - 1 June 2026,,,,,,age,65-74,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,19.4,2.1,1.2,1.0,1.8,2.6,0.5,4.4,7.0,4.9,voting-intention-june-3.xlsx,likelihoodtovote
GB Adults,29 May - 1 June 2026,,,,,,age,75+,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,11.1,3.5,3.2,0.9,1.5,1.4,,1.1,3.2,5.8,voting-intention-june-3.xlsx,likelihoodtovote
GB Adults,29 May - 1 June 2026,,,,,,region,East Midlands,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,11.3,5.7,1.8,,,7.4,0.5,4.6,12.5,7.0,voting-intention-june-3.xlsx,likelihoodtovote
GB Adults,29 May - 1 June 2026,,,,,,region,East of England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,21.1,4.8,2.6,4.1,0.1,4.8,0.3,4.5,8.6,5.2,voting-intention-june-3.xlsx,likelihoodtovote
GB Adults,29 May - 1 June 2026,,,,,,region,Greater London,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,9.9,1.8,1.8,3.1,2.5,3.8,2.3,5.6,10.6,9.1,voting-intention-june-3.xlsx,likelihoodtovote
GB Adults,29 May - 1 June 2026,,,,,,region,North East England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,17.3,8.5,1.7,4.3,5.7,1.6,,2.1,9.7,8.0,voting-intention-june-3.xlsx,likelihoodtovote
GB Adults,29 May - 1 June 2026,,,,,,region,North West England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,15.6,1.2,2.1,0.7,3.5,6.5,1.3,8.3,10.7,7.8,voting-intention-june-3.xlsx,likelihoodtovote
GB Adults,29 May - 1 June 2026,,,,,,region,Scotland,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,16.3,3.3,,1.5,0.5,8.1,0.3,3.4,9.0,6.3,voting-intention-june-3.xlsx,likelihoodtovote
GB Adults,29 May - 1 June 2026,,,,,,region,South East England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,16.0,4.6,2.2,1.6,0.5,6.2,2.5,5.4,7.6,5.8,voting-intention-june-3.xlsx,likelihoodtovote
GB Adults,29 May - 1 June 2026,,,,,,region,South West England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,17.3,3.1,1.1,,,2.5,6.6,8.5,8.4,4.6,voting-intention-june-3.xlsx,likelihoodtovote
GB Adults,29 May - 1 June 2026,,,,,,region,Wales,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,21.1,5.3,1.5,,0.9,3.4,2.6,4.5,10.2,7.0,voting-intention-june-3.xlsx,likelihoodtovote
