Headline sample,Fieldwork dates,Fieldwork end date,Full fieldwork dates,Parliament,Sample size,Pollster,Subsample dimension,Subsample,Question detail,canonical_question,match_pattern,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,source_file,sheet
GB Adults,22 - 25 May 2026,,,,,,total,All,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,14.8,3.2,2.9,2.2,1.8,5.6,2.4,3.6,8.2,8.6,voting-intention-may-27.xlsx,likelihoodtovote
GB Adults,22 - 25 May 2026,,,,,,gender,Male,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,13.4,1.8,2.4,1.2,2.1,6.3,2.2,4.1,9.5,11.5,voting-intention-may-27.xlsx,likelihoodtovote
GB Adults,22 - 25 May 2026,,,,,,gender,Female,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,16.0,4.5,3.3,3.0,1.6,4.9,2.6,3.2,7.0,5.9,voting-intention-may-27.xlsx,likelihoodtovote
GB Adults,22 - 25 May 2026,,,,,,age,18-24,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,16.8,2.1,1.8,3.0,4.4,10.8,2.9,3.3,5.7,9.4,voting-intention-may-27.xlsx,likelihoodtovote
GB Adults,22 - 25 May 2026,,,,,,age,25-34,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,11.3,3.1,1.8,1.3,3.0,8.3,3.8,4.7,8.6,12.5,voting-intention-may-27.xlsx,likelihoodtovote
GB Adults,22 - 25 May 2026,,,,,,age,35-44,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,15.8,3.0,4.0,4.6,2.3,6.4,2.9,3.9,10.6,10.1,voting-intention-may-27.xlsx,likelihoodtovote
GB Adults,22 - 25 May 2026,,,,,,age,45-54,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,16.9,5.2,4.0,2.1,1.6,6.3,2.4,3.2,9.4,7.9,voting-intention-may-27.xlsx,likelihoodtovote
GB Adults,22 - 25 May 2026,,,,,,age,55-64,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,16.3,2.1,3.0,1.8,0.6,3.0,2.4,4.7,6.4,6.0,voting-intention-may-27.xlsx,likelihoodtovote
GB Adults,22 - 25 May 2026,,,,,,age,65-74,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,13.5,2.7,2.7,0.9,0.6,1.9,0.7,3.2,7.6,6.3,voting-intention-may-27.xlsx,likelihoodtovote
GB Adults,22 - 25 May 2026,,,,,,age,75+,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,12.6,4.3,2.2,1.0,,1.9,0.8,1.0,7.8,6.6,voting-intention-may-27.xlsx,likelihoodtovote
GB Adults,22 - 25 May 2026,,,,,,region,East Midlands,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,16.0,2.2,3.8,1.3,1.8,3.0,1.7,2.8,13.6,8.7,voting-intention-may-27.xlsx,likelihoodtovote
GB Adults,22 - 25 May 2026,,,,,,region,East of England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,18.2,5.0,1.1,3.5,1.8,5.8,1.6,4.6,7.7,9.0,voting-intention-may-27.xlsx,likelihoodtovote
GB Adults,22 - 25 May 2026,,,,,,region,Greater London,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,9.6,3.7,1.2,1.6,0.5,9.3,3.3,5.0,9.9,8.8,voting-intention-may-27.xlsx,likelihoodtovote
GB Adults,22 - 25 May 2026,,,,,,region,North East England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,15.5,2.7,3.1,2.9,4.3,4.1,1.5,6.4,5.1,14.0,voting-intention-may-27.xlsx,likelihoodtovote
GB Adults,22 - 25 May 2026,,,,,,region,North West England,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,16.8,2.0,1.0,2.4,1.6,9.3,3.1,2.9,6.3,7.7,voting-intention-may-27.xlsx,likelihoodtovote
GB Adults,22 - 25 May 2026,,,,,,region,Scotland,likelihoodtovote,UNMATCHED,,0 - Certain not to vote,1,2,3,4,5,6,7,8,9,10.0,1.0,6.8,,2.0,4.7,,3.1,9.7,9.3,voting-intention-may-27.xlsx,likelihoodtovote
